Rating,Waktu,Teks_Mentah,Tanggal_Scrap
5,Diedit 6 hari lalu,Tembaga,2025-12-18
4,seminggu lalu,Tempatnya asik,2025-12-18
5,Diedit 2 minggu lalu,"Tempat camp yg oke sih, tempat makan di sekeliling jadi ga kawatir kelaparan. View paginya juga syahdu banget…asiknya rame2 sih kalo ksini",2025-12-18
5,sebulan lalu,"Tempat camp area baturaden, tetapi yang tidak mau camp juga bisa tersedia banyak warung2 untuk nongkrong dengan pemandangan alam dan view kota purwokerto. Harga makanan dan minuman juga terjangkau.",2025-12-18
1,2 bulan lalu,"tidak rekomend sekali lagi TIDAK REKOMEND!. SOP makanan itu telat ½jam harus sudah datang, eh ini sampe berjam"". mana pas datang pesanan tdk sesuai minimal konfirmasi minta maaf tdk ada sama sekali!malah di cuekin langsung tinggal pergi. Karyawan macam apa anda?kita BELI bukan MINTA! TIDAK REKOMEND.  MANA JUDES JUDES SMUA",2025-12-18
1,2 bulan lalu,tukang parkir yang disekawan caub garamah banget emosian dan jutek bikin gamau lagi kesana,2025-12-18
1,Diedit 2 bulan lalu,"Sangat kecewa si kecaub, baru kemaren hari rabu tgl 14 padahal kan udah ada biaya masuk sama ada biaya untuk parkir tapi kenapa kok helm saya bisa ilang ya dan lebih parahnya lagi tukang parkirnya ngga ada tanggung jawabnya sama sekali, bukanya ada kata maaf atau apa lah ini ditinggal pergi tanpa kata maaf sedikitpun, sangat sangat kecewa, ngga lagi lagi deh",2025-12-18
5,3 bulan lalu,"Baru juga dari sana setelah sekian purnama. Dari jaman masih single, sampai udah ada anak",2025-12-18
5,3 bulan lalu,"Keren, tenang dan bahagia.",2025-12-18
3,3 bulan lalu,"Tempate si bagus nyaman, sangat disayangkan parkirnya lumayan ye motor 5k dan mobil 10k",2025-12-18
5,4 bulan lalu,Mantap,2025-12-18
1,5 bulan lalu,"Parkir mobil 10k, mending di sebelah cuma 5k",2025-12-18
5,5 bulan lalu,Yokatta,2025-12-18
5,5 bulan lalu,Sangat menyenangkan,2025-12-18
