Rating,Waktu,Teks_Mentah,Tanggal_Scrap
5,6 hari lalu,"Ayo yg mau ngecamp disini, jangna ragu. Segala tersedia, depannya ada curug telu tinggal jalan",2025-12-18
4,seminggu lalu,"Penginapan bentukny glamping dan camp, Tempatnya bersih, nyaman, asri Ada suara air Deket wisata curug telu Karyawan ramah, ada free sarapan Ada bbrpa tipe, fasilitasnya berbeda, harganya jg beda Waktu kesana blm ada water heaternya Ngajak anak2, happy sh",2025-12-18
5,sebulan lalu,Bagus tempat nya.,2025-12-18
5,6 bulan lalu,Glamping yang murah tapi nyaman banget dan bersih. Dan letaknya pas banget di depan tempat wisata curug telu yg sangat keren ternyata. Kapan kapan kesini lagi.,2025-12-18
3,6 bulan lalu,"Hanya tersedia 3 unit room cotage segitiga, lainya camp. Harga terjangkau Bersih View terbalik, gunung di belakang unit Minus tidak ada water heater Pelayanan bagus",2025-12-18
5,8 bulan lalu,"Tempatnya sangat nyaman, luas, dan bersih. Recommended pokoknya 😍 …",2025-12-18
5,9 bulan lalu,Nyaman banget buat liburan,2025-12-18
5,10 bulan lalu,"Glampingnya nyaman, bersih , suasana tenang banget karena deket Alam juga .. cocok dan rekomendasi utk liburan jauh dr perkotaan 🤗 warganya juga ramah 🏡❤️ friendly juga untuk anak2 , ada ikannya .. …",2025-12-18
5,10 bulan lalu,"Pengalaman menginao disini tempatnya bagus, bersih dan pemandangannya cantik, saran sedikit untuk fasilitas ditambahkan peralatan mandi spt sabun dll, dan gantungan baju (hanger). Terimakasi, sukses selalu🙏🏻 …",2025-12-18
5,11 bulan lalu,Tempat yang enak untuk camping,2025-12-18
4,setahun lalu,Ok baik,2025-12-18
5,setahun lalu,Cottage nya Mantap Bersih Lengkap Pelayanan Ramah Baik Sopan Udara Sejuk dekat Gunung Dekat Tempat Wisata 3 Curug,2025-12-18
5,setahun lalu,"Tempat yg sangat cocok bagi anda yg akan staycation, tidur di glamping yg indah & family gatering pemandangannya jg bagus bersih ada dapur umumnya ada camping ground nya wah mantab nih",2025-12-18
5,setahun lalu,layak untuk dicoba✨,2025-12-18
5,setahun lalu,"Tempatnya asyik, ada mushola, kamar mandi cukup bersih, ada dapur umum yang ada tempat duduknya buat makan, ada stop kontak disetiap tenda, bisa pesen makanan dan minuman dianter ke tenda, pokoknya the best. Semoga selalu memberikan pelayanan yang terbaik untuk pelanggannya",2025-12-18
5,setahun lalu,"nyaman banget tempatnya, bersih juga, mushola dan toilet juga ada. tempat charger ada di setiap tenda, ada dapur umum juga. love banget 🙌🏻🤩 …",2025-12-18
5,setahun lalu,mantap⭐️⭐️⭐️⭐️⭐️⭐️,2025-12-18
5,setahun lalu,Bagus dan menyenangkan,2025-12-18
5,setahun lalu,"DJoglo tempat menginap bisa untuk dicoba di baturaden. Glampingnya bagus, t4 nya bersih, sejuk, asri. Menu makanannya sederhana, tp rasanya enaaak. Katanya bs bbq grill an d sana, patut dicoba, krn suasana malamnya mendukung untuk gril2an.heee Admin fast respon dan super melayani, sukaak. Qodarullah saya lupa ninggal baju di sana, dan dikembalikan dg dikirim k rumah. InsyaaAllah D'Joglo amanah. Recommended.",2025-12-18
5,Diedit setahun lalu,rekomend banget buat camp,2025-12-18
5,setahun lalu,"Tempat nyaman dan bersih, tidak terlalu ramai dan brisik.... Pelayanan ramah, Cocok buat qtime dengan keluarga. Cottage …",2025-12-18
5,setahun lalu,"Tempat nyaman dan bersih, tidak terlalu ramai dan brisik.... Pelayanan ramah, Cocok buat qtime dengan keluarga. Cottage Tenda camp Kolam ikan Dapur bersama Toilet umum bersih",2025-12-18
5,setahun lalu,Tempatnya nyaman enak top lahh,2025-12-18
5,setahun lalu,Tempatnya keren banget buat camping ala-ala dan ada cottagenya ⛺️🌿 …,2025-12-18
