Rating,Waktu,Teks_Mentah
5,4 minggu lalu,tempat yg sangat cocok buat ngadem...refresh...dgn suasana yg hening
5,sebulan lalu,Tempat yang asyik buat campung
5,2 bulan lalu,"Seru asri n tempat camping ratan lurung ,oner ramah ,pemandangan bagus bgt fasilitas smg tambah okle lagi .kapan2 camping di sana lagi hari biasa pun ada teman nya jd seru"
5,2 bulan lalu,Terbaik view nya
5,3 bulan lalu,"Tempat sederhana tapi menyajikan view yg indah. Bisa sewa tenda,sewa peralatan camping juga ada. Waktu ke sana bareng keluarga. Menyenangkan. Harga murah."
1,3 bulan lalu,Hari Rabu ke sana dan tutup. Tidak tahu apakah memang sudah tutup atau kebetulan saya ke sana pas tutup. Nomor kontak dihubungi tidak menjawab.
3,4 bulan lalu,"Saya sebagai pecinta camping sangat apresiasi buat pengelola Tempat lokasi masi perlu perwatan jalan masi seadanya… Sebagai masukan dan saran juga review saya untuk saat ini jangan di buka dengan sebutkan campervan dulu lebih baik camp ground saja lebih fair dan sesuai… Dengan biaya 150rb/lahan (campervan) listrik 50rb sangat belum layak😊 Saya ke sana dengan tujuan camping dan explorasi tempat untuk survei juga mempromosikan tempat2 camp… Tentunya ini sangan mahal dan perlu evaluasi ulang  terkait harga,,, Lahan sebutan campervan itu bisa parkir jejer proper dan tenda bisa menghadap ke view utama… Untuk harga segitu tentu belum layak dengan fasilitas dan lokasi saat ini.. Jadi mohon untuk pengelola bisa di sesuaikan saja tempatnya dengan sebutan camping ground biaya berapa dan parkir mobil berapa…sukses selalu pengelola semoga point utamanya yaitu di tarif dengan fasilitas yang ada."
5,5 bulan lalu,basecamp unik dan cantik dari angle yang berbeda dari gunung ungaran. tempatnya classic dan masih asri. …
5,5 bulan lalu,basecamp unik dan cantik dari angle yang berbeda dari gunung ungaran. tempatnya classic dan masih asri.  jika kalian berada di basecamp mohon pengertiannya untuk menjaga kelestarian alam di sekitar. jangan buang sampah sembarangan ya karena sudah tersedia untuk tempat sampahnya. lebih baik lagi ngobrol dengan bapak yang ada di basecamp orangnya sangat ramah dan pastinya bikin betah untuk pingin tau seluk beluk dari basecamp ratan lurung.
5,6 bulan lalu,Syahdu
5,6 bulan lalu,Menenangkan dg suasana alam
5,9 bulan lalu,Visit area camp ini pas libur imlek 2025. Nge camp 4D3N dengan cuaca saat itu cukup ekstrim hujan angin. …
5,10 bulan lalu,"Basecamp pendakian Gunung Ungaran yang masih baru, tempat nyaman banget dengan view terbaik karena menghadap langsung gunung gunung di jawa tengah dan terbuka bebas, fasilitas sudah komplit ada kamar mandi, mushola, parkir yg luas dan warung. Akses lumayan mudah untuk masuk motor dan mobil, cobain kesini untuk pengalaman baru ke Gunung Ungaran."
5,10 bulan lalu,"Basecamp Gunung Ungaran yang terbaru, viewnya spesial, fasilitas basecamp lengkap, ada warungnya juga jadi enak buat hangout setelah capek mendaki Gunung Ungaran :)"
5,10 bulan lalu,Tempat camping ground yg asik..busa juga buat campervan juga
5,11 bulan lalu,"Seru bgt dimari, romantis buat berdua sama istri & seru utk ngumpul bareng temen & klg. Sini2 lagi tp ndak akan pernah bosen"
5,9 bulan lalu,"Visit area camp ini pas libur imlek 2025. Nge camp 4D3N dengan cuaca saat itu cukup ekstrim hujan angin.  POV saya : - Kalau mobil FWD cc kecil better cek kondisi mobil dan pastikan driver paham kondisi jalan karena tanjakan yg terjal dan licin (saya pakai unit Raize 1.0 turbo) - Area bisa pakai tenda ukuran besar (saya pakai Nature Hike V17 dengan luas 4x6 meter) - Area colokan listrik sangat terbatas - Ada toilet di dekat warung milik owner - Ada musholla cukup luas - Tidak bisa campervan, jadi mobil diparkir di area depan warung atau sebelah warung - Spot paling apik di sebelah kolam (paling atas) namun harus prepare kabel listrik minimal 25 meter karena colokan saat itu hanya terbatas di warung owner - Spot lokasi tenda sudah di blok dan space terbatas, baiknya reservasi sebelum datang supaya bisa mendapatkan tempat - Area jalan menuju lokasi hanya bisa diakses 1 mobil, jalan masih tanah dan terjal. Pastikan ban dalam kondisi prima. - Kondisi cerah, view 6 gunung.  So far bakal balik lagi kesini saat musim kemarau supaya view nya lebih cantik."
5,11 bulan lalu,Tempat syahdu banget utk ngajak anak2 ngenalin alam yg masih asri supaya mereka bisa mencintai alam sekitar & ikut melestarikanya
5,11 bulan lalu,"View bagus, bersih,sejuk cocok untuk liburan"
5,11 bulan lalu,Salah satu spot camping view n basecampnya juaraaa......
5,11 bulan lalu,"Basecamp tertinggi di gunung ungaran view sangat memuaskan, orang orang basecamp nya friendly & ramah Suasana alam nya masih fresh cocok banget buat yang suka suasana damai"
5,11 bulan lalu,"2 Januari 2025 baru saja berkunjung, sangat rekomended buat yg ingin menenangkan diri di alam, buat keluarga juga asyik, deket dg tempat wisata yg lain juga, insyaAllah berkunjung lagi bawa keluarga"
5,setahun lalu,Basecamp Ratan Lurung CampingGround & Jalur pendakian 👍👍👍
5,setahun lalu,"Sangat bagus,sangat enak"
5,Diedit setahun lalu,"Asyik ,sarana edukasi pertanian ,camping ,warung kopi di pengunungan udara sejuk"
5,2 tahun lalu,Sungguh momen tempat dan keindahan yang istimewa yang akan datang... Tetap aman dan lebih rileks dari sebelumnya...
5,2 tahun lalu,Api unggun anget pagi seger....jos pokoke
5,2 tahun lalu,"New ratan Wulung camp dengan berbagai fasilitas : warung, kamar mandi, mushola. Spot tempat untuk tenda juga cukup banyak. Cocok untuk melihat sunrise dan menenangkan hati."
