Rating,Waktu,Teks_Mentah,Tanggal_Scrap
5,3 minggu lalu,"Murah meriah,enak bgt, cma agk lama 🤣🤣🤣. …",2025-12-18
5,4 bulan lalu,Tempat yang bagus,2025-12-18
5,5 bulan lalu,"Tempat nyaman buat camp,tenang,fasilitas oke,pelayanan pengelola bagus,view indah,tempat rekomended buat yang pengen refreshing..",2025-12-18
5,5 bulan lalu,"Cocok untuk bersama keluarga tercinta, nyaman, bersih",2025-12-18
5,5 bulan lalu,T4 nya oke pemandangan bagus cocok buat ngilangin penat 🤩🤩 bersama keluarga tercintaa pan kapan datang lagi yaaa …,2025-12-18
5,5 bulan lalu,"nyaman,alam yg indah dan elok..masjid dekat..pelayanan bagus..jos pokoke",2025-12-18
5,5 bulan lalu,"Nyaman tempatnya,,pelayanan baik sangat ramah sekali,kamar mandi selalu bersih dan wangi👍👍next time ngajak keluarga lagi ke kampung sakinah …",2025-12-18
5,5 bulan lalu,Tempatnya bagus.. Pelayanan ramah.. Masjid ada... Jalur tracking keren...,2025-12-18
5,5 bulan lalu,"Mantap BumPer nya,nyaman,tenang,bersih,pelayanan yg sangat bagus,pokok e nyenengkeh,monggo lur gas sana",2025-12-18
5,9 bulan lalu,"Cocok untuk camping keluarga, komunitas dan instansi pendidikan...",2025-12-18
