Rating,Waktu,Teks_Mentah,Tanggal_Scrap
3,3 hari lalu,"Tempat wisata bagus , cocok buat trail running, buat foto foto juga cocok , cuma aneh nya kenapa setelah bayar di TPR itu haru bayar lagi di loket yang jarak nya cuma 100 meteran , kenapa ga dibikin satu manajemen ajah , aneh banget",2025-12-18
5,Diedit 6 hari lalu,Sangat indah,2025-12-18
4,6 hari lalu,bayar 2 kali,2025-12-18
3,seminggu lalu,Sayang sampai disini puncak gunung merapi tertutup kabut,2025-12-18
4,seminggu lalu,Sipp..Monggo yg mau kesini...jalan ne jg bagus...,2025-12-18
5,seminggu lalu,Tempat yang indah,2025-12-18
5,Diedit seminggu lalu,Sekedar utk secangkir kopi & pisang goreng anget,2025-12-18
5,seminggu lalu,Bagus,2025-12-18
5,seminggu lalu,Lebih rapi dan bersih sekarang,2025-12-18
5,seminggu lalu,"Kebetulan pas sampai kabut mulai turun, jadi kurang dapat view nya.",2025-12-18
5,seminggu lalu,"Tempat relatif bersih, mudah di akses, pelayanan sangat baik, petugas memperhatikan keamanan pengunjung",2025-12-18
4,seminggu lalu,Bagus viewnya dan jalur trekingnya rapi,2025-12-18
5,seminggu lalu,mantap,2025-12-18
5,seminggu lalu,"Jalur pendakian yang tidak terlalu berat. Cukup. Dan cocok untuk melatih anak-anak. Tapi tetap waspada dan mengikuti petunjuk,arahan dan peringatan.",2025-12-18
5,2 minggu lalu,"bagus banget tempatnya, cocok untuk tracking tipis""",2025-12-18
5,2 minggu lalu,"Ada 4 pos walaupun perlu tracking tapi sangat worth it, waktu itu kesana dapet kabut tapi tetep bagus polll. Jalannya tracking nya nggak yang ekstrim amattt mantappp",2025-12-18
5,Diedit 2 minggu lalu,"Saya sudah ke sana beberapa kali. Tempat trekking yang bagus di Jogja!  Untuk lari lintas alam, perjalanan pulang perginya memakan waktu satu jam.",2025-12-18
5,2 minggu lalu,"Tempat yang nyaman, sejuk, dan toilet juga tersedia banyak untuk pengunjung",2025-12-18
5,2 minggu lalu,"Saya kesini dari bantul jam 5 pagi, sampai sana jam 06.40. Naik jam 7 view nya bagus banget, sampai puncak hujan lebat, turun makan soto ditempat parkir rekomended dengan teh panas, jangan lupa bawa jas hujan",2025-12-18
4,2 minggu lalu,Indah sekali. Cuma pas datang berkabut,2025-12-18
5,2 minggu lalu,Jalur treckingnya mantapp.. view nya...baguss,2025-12-18
1,2 minggu lalu,Ancur,2025-12-18
5,2 minggu lalu,Pengeditan selesai,2025-12-18
5,3 minggu lalu,"Keren, minggu cerak yang hiking ufah kayak mau car free day. Manteb",2025-12-18
5,3 minggu lalu,"Tempat foto, spot foto dan video keren, apalagi pas cuaca cerah, terlihat gagah nya gunung merapi sebagai latar belakang...",2025-12-18
5,3 minggu lalu,Bagus bgttttt,2025-12-18
5,3 minggu lalu,"Akses mudah, jalannya juga mudah, tenram nyaman. Pelayanan juga ramah tamah. Satu kalimat untuk menggambarkan trekking disini “menyenangkan”… sepeti tempat basecamp pendakian pada umumnya namun versi mini. Plus ada cafe nya gokil.  Sayangnya klo ada warga bakar sampah, asepnya ngebul smpe ke kawasan ekowisatNya. Jadi agak syedih. Karna udaranya udah seger dan bersih tapih ada yg bakar2… sepertinya bakar sampah sekitar pintu masuknya ituh perlu realokasikan deh. Supaya udara segarnya gk mengganggu sayang bngt soalnya. Overall ekowisata kalitalang. Wajib dikunjungi.",2025-12-18
5,3 minggu lalu,Kesini wajib pagi pagi biar dapet Magical view Merapi,2025-12-18
5,3 minggu lalu,tempat keren untuk melihat rekahan puncak merapi....,2025-12-18
1,3 minggu lalu,"Dulu masuk bawa sepeda di tuntun boleh boleh saja, sekarang sudah tidak boleh sangat di sayangkan , mungkin kurang edukasi kalau tempat outdoor lain boleh2 saja",2025-12-18
5,3 minggu lalu,bagus ga nyesel dari banyumas ke sini wkwkw,2025-12-18
5,4 minggu lalu,"tempatnya asri sekali, orang-orang disana ramah banget😆 …",2025-12-18
5,4 minggu lalu,"View nya cakep banget sih Ini baru berkabut apalagi kalo pas cerah Easy Tracking juga sampe puncak Banyak Spot buat Foto keren""",2025-12-18
5,4 minggu lalu,"tempat yang pas buat kabur sebentar dari rutinitas. Udara seger, view Merapi megah, dan suasananya bikin rileks, kita bisa lihat langsung gagahnya Merapi tanpa harus trekking jauh. Spot fotonya juga banyak dan estetik.  Pokoknya cocok buat healing tipis-tipis, quality time bareng keluarga, atau sekadar ngopi sambil nikmatin alam. Simple, tenang, dan bikin betah  Kalo akhir pekan lebih ramai pengunjung tracking dll, disini juga banyak tempat untuk nge camp",2025-12-18
1,4 minggu lalu,👎👎👎 …,2025-12-18
5,sebulan lalu,"Trek nya ga begitu susah tempat nya bagus merapi nya juga kelihatan ,tapi ga kalah seru karena pergi nya sama dia hihihi 🤏🏻 …",2025-12-18
5,Diedit sebulan lalu,Terasa rumah kembali😍 Tetep balik kesini lagi🤍 …,2025-12-18
5,Diedit sebulan lalu,Terasa rumah kembali😍 Tetep balik kesini lagi🤍,2025-12-18
4,sebulan lalu,keren,2025-12-18
5,sebulan lalu,indah,2025-12-18
5,sebulan lalu,"Tracking asik, cocok untuk tektok bersama teman-teman",2025-12-18
5,sebulan lalu,"Baru pertama ngajak sikecil. Seneng, seru.",2025-12-18
5,sebulan lalu,"bagus, nyaman, damai semua fasilitas support",2025-12-18
5,sebulan lalu,View-nya cukup keren karna berhadapan langsung dgn gunung merapi,2025-12-18
4,sebulan lalu,Sangat menyegarkan mata.tapi hati hati sore hari monyet pada turun,2025-12-18
5,sebulan lalu,"Bagussss, tapi kaget ada 2 loket sekarang",2025-12-18
5,sebulan lalu,Oke,2025-12-18
5,sebulan lalu,Tempat yang indah untuk lari lintas alam dan pelacakan,2025-12-18
5,sebulan lalu,Pleygron favorit gw,2025-12-18
5,sebulan lalu,Akses menuju ke ekowisata sudah bagus dan lebar. Htm sangatlah terjangkau 5 rb / orang. Kalau mau tracking bayar lagi 12 k / orang ( week day ). Parkiran sangat luas. Banyak warung2 juga di dekat parkiran jadi tidak usah …,2025-12-18
5,sebulan lalu,"Baru pertama kali tracking dengan pengalaman tracking tak terlupakan dan mau coba tracking lagi.  Salut sama mbak & mas yg tracking dalam satu waktu bisa 2-3 kali bolak-balik. Bawa keluarga aman: kemarin ada keluarga bawa anak sekitar usia SD sampai pos 4. Toilet bersih di bawah, sebelum ticketing.",2025-12-18
5,sebulan lalu,"Tempatnya bagus, enak buat piknik, bisa treking",2025-12-18
5,Diedit sebulan lalu,Bagus... apalagi kalo pagi sebelum ramai.. keren abis...,2025-12-18
5,sebulan lalu,"Mantap, harus liat info cuaca dulu sebelum tracking",2025-12-18
5,sebulan lalu,Cocok untuk latihan naik gunung,2025-12-18
4,sebulan lalu,Umum umum,2025-12-18
5,sebulan lalu,bagus bgt view merapinya,2025-12-18
5,sebulan lalu,Untuk sekedar melepas penat dari rutinitas bisa ke sini .,2025-12-18
5,sebulan lalu,Tempat wisata tracking view Merapi yamg lagi banyak disuka. Jalur trackingnya cukup menantang tapi masih bisa ditempuh oleh anak-anak maupun dewasa. …,2025-12-18
5,sebulan lalu,"Sebenernya bingung kenapa diminta bayar 2x, tpr awal dicegat di jalan. Lalu diminta bayar lagi saat kita mau tracking. Datang kesana saat weekend ramai sekali pengunjung. Tempatnya sangat asri. Tapi perlu dipertimbangkan cuaca saat mau ke sana.",2025-12-18
5,sebulan lalu,Tempat wisata tracking view Merapi yamg lagi banyak disuka. Jalur trackingnya cukup menantang tapi masih bisa ditempuh oleh anak-anak maupun dewasa. Tempat parkir cukup luas dan tersedia waru ng-warung makanan di dekat tempat parkir. Sudah ada pengelolanya. Bayar tiket di loket sebelum masuk lokasi parkir dan loket sebelum jalur tracking. Saran : 1. Perlu pengatur parkir dan pengatur lalu lintas akses masuk karena jalan tidak terlalu lebar dan menikung. 2. Perlu pemeliharaan fasilitas toilet karena hanya 1 yang bisa digunakan,2025-12-18
4,sebulan lalu,debu bgttt,2025-12-18
5,Diedit sebulan lalu,Trakking kedua kali kali disini 🫰 …,2025-12-18
5,sebulan lalu,"Sudah layak disebut Ekowisata, good",2025-12-18
3,sebulan lalu,bayarnya 2x😮😮 pertama byr 15k /2 orang trus byr lagi 36k /2 orang …,2025-12-18
5,sebulan lalu,Bagus,2025-12-18
5,sebulan lalu,"Tempat yang pas untuk menikmati indahnya alam merapi, hanya berjarak sekitar 5kilo Dari puncak, bisa hiking juga buat temen2 yg baru latihan, rimbunnya pepohonan dan suburnya tanah merapi, luas mata memandang membuat hati terasa damai, next cobain ngecamp di kalitalang, tersedia warmindo juga, toilet..",2025-12-18
5,sebulan lalu,Bagi yang bingung bisa datang kesini.,2025-12-18
3,sebulan lalu,"bayarnya 2x😮😮 pertama byr 15k /2 orang trus byr lagi 36k /2 orang buset dah wkw mau nengok merapi aja byr segitu mahal, pdhl yg wisata sebrang aja ga segitu mahalnya. dan minus nya mas"" yg jaga loket ke 2 (pintu masuk awal tracking/hiking/ndaki) ngang ngong ngang ngong, ada bbrpa org di blkng saya tp yg di stop cuman saya disuruh byr 36k, org yg diblkkg bisa lolos gitu aja, agak ga adil sihh tp emg ga adih bgt nggghh.",2025-12-18
