Rating,Waktu,Teks_Mentah,Tanggal_Scrap
1,8 jam lalu,"Pelayanannya jelek, dan saya tau klo tidak boleh bawa makanan dri luar tpi ini ada org ulang tahun yg umur udh 30an tahun dan kue ulang tahun itu kn tidak harus berbentuk kue ultah masa tetap harus bawa kue ultah yg pada biasanya padahal kue ultah itu sekarang tidak harus berbentuk kue ultah pada umumnya krna sudah berbagai bnyak macam kue yg dijadikan untuk ultah dan kami kesana bukan cuma mau piknik aja ya tetap akan kami beli jajanan yg ada di Ledok sambi bahkan banyak yg mau akan kami beli jajanan nya karna lagi ada org ultah, gk hanya cuma serta merta datang tapi tidak beli jajanan nya. Sungguh cara pelayanan nya jelek.",2025-12-18
5,1 hari lalu,"tenpat liburan murah meriah tapi fasilitas dan wahana gk kalah menarik, tiket masuk bayar seikhlasnya, lokasi bersih, warung makan murah meriah, sungai aliranya kecil dan dangkal cocok untuk anak2 bermain air yang sejuk dan bersih",2025-12-18
5,Diedit 2 hari lalu,Tempat bermain air andalan Airnya jernih sejuk nyaman,2025-12-18
5,2 hari lalu,"Salah satu tempat wisata di jogja yang sangat bagus saat berliburan dan bermain bersama keluarga. Tiket masuknya sukarela kita mau memberikan uang masuk seikhlasnya saja. Tempatnya sangat asri, sejuk, bersih dan bagus buat anak2 bermain di …",2025-12-18
4,2 hari lalu,"Secara keseluruhan tempatnya ramah anak dan banyak tersedia makanan dan cemilan. Sayang nyaa sayaang disayang SDM kita masih parah menjaga tempat wisata yang notabene untuk bersama bukan punya pribadi atau WC pribadi. Sedih waktu kesana liat yang bawa2 balita ada yang pup tapi dibiarkan basah se pempers2 nya (semoga orangnya baca ulasana ini ya Allah!) iyah itu lw 😤. Kzzl. Udah lah pup ga lgsg di bawa ke WC padahal ada lho, ini pamper sama celana yg kena pup dicuci aliran air sungai yang tau yaa makin kebelakang masih banyak anak2 jejer2 maen bahlan berendem..iyah mmg air mengalir tapi come on lah...WC nya disediain dan ga begitu jauh naek tebing atau gunung kog. Anak lw juga bisa di cebokin di wc lebih bersih 😭. Emang dasar jorok dan males ajah. Kasian anak2 lain yg lagi keceh atau berendam disitu kan pasti ngalir ke belakang. Anakku auto tak suru pindah ke depan dan cuma boleh celup kaki. Area ademnya juga terbatas pengunjung suru nyari tempat sendiri kurang teratur ajah si",2025-12-18
5,2 hari lalu,"Tempat wisata alam yang luas dengan berbagai mainan, sungai yang aman untuk anak2, banyak fasilitas, tempat outbond, camping",2025-12-18
5,4 hari lalu,"Tempat bagus, airnya seger, tapi pas lagi rame bgt. Pelayanan okk",2025-12-18
5,4 hari lalu,"Healing yg sesungguhnya, cocok untuk piknik keluarga, free entry, tersedia kotak untuk biaya pemeliharaan itupun seikhlasnya, butuh tikar tidak usah khawatir , tersedia dengan biaya seikhlasnya juga, makanan dan minuman disana harganya terjangkau , ada beberapa arena bermain yg berbayar , sungainya cantik bening, dan aman untuk bermain bersama keluarga anak anak atau dewasa pasti suka",2025-12-18
5,2 hari lalu,"Salah satu tempat wisata di jogja yang sangat bagus saat berliburan dan bermain bersama keluarga. Tiket masuknya sukarela kita mau memberikan uang masuk seikhlasnya saja. Tempatnya sangat asri, sejuk, bersih dan bagus buat anak2 bermain di sungai dengan air yang sejuk dan jernih. Ada juga wahana permainan outdoor seperti flying fox, kayak, archery, e scooter dll. Terima kasih",2025-12-18
5,Diedit 5 hari lalu,Sungai bersih pelayanan bagus,2025-12-18
