Rating,Waktu,Teks_Mentah
5,4 hari lalu,"Nyaman buat piknik & ngecamp kalo weekday, cuma bayar parkir"
5,2 minggu lalu,"Visited 30 November 2025  1. untuk akses motoran oke banget, tapi kalo bawa mobil agak sulit karena jalan nya kurang lebar dan ga ada patokan di depan nya. HTM dihitung per kendaraan, kalau ngecamp 15k per orang. (sangu 100k turah)  2. warga nya ramah, makanan nya murah. akses toilet ada di awal masuk, untuk jarak ke lokasi camp deket. arus sungai nya lumayan deras, jangan berenang! main di pinggir aja,  3. lokasi nya luas banget, bisa salto jumpalitan BEBAS, asal jangan mengganggu warga lain. rumput nya masih pada tinggi, jadi ada beberapa wilayah yang tertutup (bukan tempat esek esek, awas ulo)  4. bonus ketemu ayam dan domba kalau bapak nya lagi angon, usahakan berkata yang sopan dan jangan teriak teriak, karena daerah nya masih dalam lingkup “anu” takutnya ketempelan.  saran berkunjung jam 4 sore, kalau siang masih panas, bawa air minum, sama tikar. boleh bawa peliharaan. yang paling penting : “JANGAN MAIN API DAN BUANG SAMPAH SEMBARANGAN”"
5,2 minggu lalu,"Tempatnyaaa camtikkk!!! Bisa buat piknik, luas, ada sungai jernih, sm ada kambienggg, jadi kek natural abis. KM nya jauh kalo udh masuk sini"
5,2 minggu lalu,Kalau sepi ciamik. Recommended buat piknik sore
3,sebulan lalu,kesini waktu musim hujan jadi gabisa ngapa2in karena air bener bener deras banget. Kalo kalian cuma main nggak camp nggak kena biaya regisrasi.
5,sebulan lalu,Terima kasih banyak atas ulasan dan kunjungan nya di potrobayan River Camp.  Sehat selalu 
5,sebulan lalu,Tempat yang enak buat santai sambil mancing
5,sebulan lalu,Terimakasih banyak atas ulasan dan kunjungan ada di Potrobayan River Camp . Sehat selalu 🙏 …
5,sebulan lalu,cantik
5,sebulan lalu,stabil
5,sebulan lalu,Terimakasih banyak atas ulasan dan kunjungan ada di Potrobayan River Camp . Sehat selalu 🙏 …
5,sebulan lalu,Terimakasih banyak atas ulasan dan kunjungan ada di Potrobayan River Camp . Sehat selalu 🙏 …
5,sebulan lalu,"Lingkungan bersih, cocok buat camping atau sekedar menikmati alam, sayangnya pas kesana lagi musim hujan, hati"" pasang naik air sungai/kalinya, untung kemarin dirikan tendanya lebih keatas lagi. …"
5,sebulan lalu,ijo ijo
5,sebulan lalu,Bagus
5,sebulan lalu,Terima kasih banyak atas kunjungan dan ulasan untuk potrobayan river camp . Kita tunggu kedatangannya kembali 🧡 …
5,2 bulan lalu,Terima kasih banyak atas kunjungan dan ulasan untuk potrobayan river camp . Kita tunggu kedatangannya kembali 🧡 …
5,2 bulan lalu,"Momen di tahun 2023 sama mas ganteng🫶🏻💗 Potrobayan lagi bagus bagusnya, dan sekarang makin baguss👍👍 …"
5,2 bulan lalu,"Tempat yg asyik utk duduk santai masuk kesini gratis cuma bayar parkir fasilitas ada warung, tempat cash hp, toilet"
5,2 bulan lalu,"Sejukkk,ademmm,banyak yg camping klo gak hujan"
5,2 bulan lalu,Syahdu suasananya. Cocok bagi anda yang jenuh dengan hiruk pikuk perkotaan.
5,2 bulan lalu,syahdu sekali
5,2 bulan lalu,Terima kasih banyak atas kunjungan dan ulasan untuk potrobayan river camp . Kita tunggu kedatangannya kembali 🧡 …
5,2 bulan lalu,Terima kasih banyak atas kunjungan dan ulasan untuk potrobayan river camp . Kita tunggu kedatangannya kembali 🧡 …
5,2 bulan lalu,"Tempatnya enak buat Camping, tempatnya bersih, tiket masuknya murah untuk Camping biayanya 10k per orang sama parkir motor untuk camping 5k per motor"
4,2 bulan lalu,Terima kasih banyak atas kunjungan dan ulasan untuk potrobayan river camp . Kita tunggu kedatangannya kembali 🧡 …
5,2 bulan lalu,Terima kasih banyak atas kunjungan dan ulasan untuk potrobayan river camp . Kita tunggu kedatangannya kembali 🧡 …
4,2 bulan lalu,Tempat nya tentang dan sejuk banyak pohon pohon
5,Diedit 2 bulan lalu,"Tempat yang eksotis untuk melepaskan kepenatan dan kejenuhan. Gemericik air membuat hati tenang dan hembusan angin menambah ketentraman. Wahai kawan tak usahlah engkau ragu untuk datang, jauh dipandang datang disayang. Peluklah alam dengan hati yang tenang maka jiwamu akan di bawa melayang jauh menikmati indahnya surga alam. Didirikanlah tenda dan tegakkan angan nikmati alam dengan pesona yang terdalam. See you"
