Rating,Waktu,Teks_Mentah
5,setahun lalu,"Tempat perkemahan yang cukup luas (mungkin cukup untuk 100an orang), lahan berumput namun terdapat beberapa saluran air buatan supaya air tidak menggenang.  Bersebelahan langsung dengan cabang sungai yang mengarah ke kali Oya, sehingga arus air cenderung lambat dan tidak berbahaya. Tidak direkomendasikan untuk berenang di sini karena air kotor, air di sini diutamakan sebagai sumber air irigasi persawahan.  Dikarenakan bersebelahan dengan aliran air, maka ketika malam akan cenderung banyak nyamuk di sini, bersiaplah.  MASIH BELUM DIKETAHUI UNTUK KEMAH/ BERKEGIATAN DI SINI MEMERLUKAN PERIJINAN/ BAYAR SEWA."
5,Diedit 3 tahun lalu,"Tempatnya asri banget, sangat cocok untuk berkemah atau sekedar piknik. Minusnya ada di jalan menuju ke lokasi, apalagi saat musim hujan. Jadi sangat sangat disarankan kesini saat musim kemarau aja, jangan kesini saat musim hujan karena akses jalan yang sulit dilalui, jalannya ada genangan air, becek dan genangannya dalem. Selain itu saat musim hujan sungainya jadi meluap, stay safe yaa."
5,7 tahun lalu,Ideal unt camping ground semoga kebersihannya selalu terjaga
4,2 tahun lalu,"Merupakan salah satu tempat perkemahan di Kabupaten Gunung Kidul. Lokasi sebelah utara obywk wisata Goa pindul. Perkemahaan ini menyediakan lokasi camping / kemah alam, cocok untuk keluarga dan organisasi. Disarankan unt tidak menginap, krn belum ada fasilitas MCK, hanya ada air dari aliran sungai. Pemukiman pendudu berjarak -+1km dari lokasi Pengunjung dapat membawa sendiri alat kemah atau menyewa tenda dan perlengkapan camp yang disediakan. Lebih mengasyikan berkunjung untuk bbrp waktu dengan membawa perlengkapan dr rumah, tidak ditariknHTM. Meski fasilitas belum memadai, tapi viewnya kerennnn..."
4,8 tahun lalu,Hizbul Wathan SMK Muh Wonosari pernah kemah disini tahun 2011. Untuk toilet masih numpang warga sekitar & membuat sendiri toilet darurat.
5,7 tahun lalu,"Bumi perkemahan yg luas dan sejuk dkt dengan sungai yg oleh warga sekitar di fungsikan untuk mandi dan nyuci sehari 2nya,warga sekitar jg ramah2"
5,11 bulan lalu,"hallo ka, apakah ada nomor aktif yang bisa dihubungi?"
4,8 tahun lalu,"Tempatnya nyaman, sayang sekarang pohon-pohonnya tinggal sedikit."
5,5 tahun lalu,Benar2 dapat mendidik sederhana utk generasi selanjutnya
5,3 tahun lalu,Pemandangan yg cukup memanjakan mata
4,6 tahun lalu,Tempat renang pas lagi di tempat simbah
5,7 tahun lalu,Tempatnya sejuk untuk berkemah
5,6 tahun lalu,Pariwisata keluarga besar bakri textil
5,Diedit 3 tahun lalu,Tempat perkemahan recommended
4,7 tahun lalu,Tempat luas
4,6 tahun lalu,Keren dan alami
5,setahun lalu,Puncak
4,6 tahun lalu,Menyukai
