Rating,Waktu,Teks_Mentah
5,sebulan lalu,Motor bisa masuk parkir samping tenda kah?
5,5 bulan lalu,"Salah satu pengalaman yang paling berkesan dalam hidupku, buaguseee poool ciptaan Allah , cuplikan surga"
5,setahun lalu,"Tempat bagus nyaman, ada anjing liar tapi aman Enak buat camping"
4,setahun lalu,Tempatnya masih belum rata...banyak batunya...
4,setahun lalu,"Tempat nya bagus banget buat camp, rute perjalanan sulit untuk dilalui mobil (motor juga tetap tidak mudah), sekarang sudah banyak sampah di camp ground nya, mungkin bisa diperbanyak pohon lagi..., SARAN WAJIB : membawa kipas angin portable karena panas sekali di dalam tenda, semoga kedepannya pengunjung lebih bisa menjaga kebersihan dengan lebih baik 👍"
5,2 tahun lalu,"Pemandangannya bagus, dan cocok untuk beach camp. Jarak dari parkiran sekitr 15 menit."
5,2 tahun lalu,"Biasanya di gunung ini coba di pantai, bagi yang mau camping mending tidur diluar tenda, krn didalam tenda panas 😁 …"
4,2 tahun lalu,view cocok bagus untuk ngecamp
5,2 tahun lalu,pemandangan laut lepas yg sangat indah...😊 …
3,2 tahun lalu,Udah bnyk berubah sih Tp view msh nice
4,2 tahun lalu,"Spott sun set yang bagus pantainya masih alami,bagus juga buat rock fishing"
5,2 tahun lalu,Baguss
5,2 tahun lalu,"View pemandangan keren, hanya saja tanah nya kurang datar 🤪, mohon pihak pengelola segera memacul tanah agar kamu lebih nyaman untuk ber kemping 🤪 …"
5,2 tahun lalu,Cakep ya....
5,2 tahun lalu,Suasana tanjung yang indah...
3,2 tahun lalu,Jln sempit dan blm dibenahi dan lokasi msh terjal bahaya utk anak2 tanpa pengawasan org tua
5,2 tahun lalu,Bagus sekali dan asyik buat penghobi camping dan penghobi mancing tebing 👍👍 …
4,2 tahun lalu,keren lokasinya
5,2 tahun lalu,Kalau camp disini jgn kemaleman karena sorenya ada view sunset yg indah
5,2 tahun lalu,Indah nya Seperti masuk ke alam lain
4,2 tahun lalu,"Pemandangannya keren banget masyallah, tempatnya enak buatnyantai kalo panas bisa berteduh dibawah pohon (harus pinter nyari tempat berteduh kalo panas)"
5,2 tahun lalu,Ada keindahan surga yang sangat indah dibalik bukit dan gunung yang terlihat rerumputan.
5,2 tahun lalu,Jalan menuju tepi tebing aman walaupun di tepi jurang karna jembatan lebar..tempat juga bagus
