Rating,Waktu,Teks_Mentah
5,Diedit 2 tahun lalu,Tempat bagus dan nyaman sekali. Recommended utk ke sini di pagi hari. Banyak kupu2nya. Pemandangan juga bagus dan segar. Ini foto2nya no edit samsek. Good place for a short getaway from hectic life
5,5 tahun lalu,"Pemandangan yg indah, cukup ideal utk camping ground utk kegiatan character building, ataupun kegiatan pembelajaran yang lain. Cukup tenang, meskipun tidak jauh dari kota Yogyakarta."
5,5 tahun lalu,Tempat yang cocok untuk belajar dan berkegiatan di alam.
5,5 tahun lalu,Tempatnya asik buat yg pengen dapat ketenangan.
5,5 tahun lalu,"Walau dikata daerah Gedang Sari itu panas, tapi di buper ini amat semilir karena posisinya yang tinggi. Pemandangan sekeliling buper sangat memanjakan mata. Sore hari bisa lihat damainya sunset. Kita juga bisa lihat merapi merbabu dari sini. Pendopo jogjlo dan rumah limasan bisa buat bobok nyaman. Aneka pohon juga ditanam disini. Bener bener lokasi nyaman buat mencari kedamaian."
5,5 tahun lalu,"Cocok untuk kemah sekolah. Pemandangan bagus, luas, bersih, mck memadahi. Ada jalur buat outbond juga. Kalau mau main doang juga bisa buat foto-foto asik. Yang punya juga ramah"
4,5 tahun lalu,"Bagi temen-temen, saudara yang suka mencari suasana ketenangan batin di sini tempatnya...sangat cocok untuk meditasi, yoga, dan kegiatan yang lain. Ada pendopo yang bisa digunakan untuk berbagai kegiatan."
5,5 tahun lalu,Pemandangan tempat ini sangat indah
5,2 tahun lalu,Suasana malam hari
5,4 tahun lalu,"sejuk, sangat nyaman."
5,3 minggu lalu,Minum
5,5 tahun lalu,Sempurna untuk pecinta alam
