Rating,Waktu,Teks_Mentah
5,"11 bulan lalu di 
Google","Camping di sini berasa kayak liburan di tempat bebas tapi serba ada. Bisa tidur di alam tapi tetap nyaman karena fasilitasnya top. Udah gitu, suara ombak bikin tidur makin nyenyak!"
5,"11 bulan lalu di 
Google","Tempat ini juara banget! Pemandangannya cakep, dikelilingi hutan hijau, dan langsung menghadap pantai. Fasilitasnya juga super lengkap, ada kamar mandi bersih, paket BBQ, dan listrik. Highly recommended!"
5,"11 bulan lalu di 
Google","nyaman banget buat camping bareng keluarga. anak anak suka karena tempat luas dan aman bermain, dan kita bisa santai ngopi sambil liatin sunset, worth every Penny!!!"
5,"11 bulan lalu di 
Google","Fasilitasnya lengkap banget! Toilet bersih, ada penjaga nya ramah, resepsionis, paket canoe dan snorkeling, panggung, bahkan disediakan hammock. Suasana hutan dan pantai bikin betah!"
5,"11 bulan lalu di 
Google","Senang banget camping di sini. Kebersihan terjaga, dan stafnya ramah. jadi spot foto yang okeee juga, cocok buat yang suka upload ke medsos"
5,"11 bulan lalu di 
Google","Saya suka banget spot sunrise-nya, Dari area bisa jalan keluar dikit langsung ke pantai dan nikmati udara segar dinginnya"
5,"11 bulan lalu di 
Google","Tenda-tenda disusun rapi, jaraknya gak terlalu dekat, jadi tetap punya privasi. Plus, ada spot untuk api unggun. Seru banget!"
5,"11 bulan lalu di 
Google","Gak cuma buat camping, tempat ini juga cocok buat acara keluarga atau gathering. Ada panggung, musholla,limasan dan fasilitas lain yang menunjang"
5,"11 bulan lalu di 
Google",surga kecil buat pecinta camping! Bawa anak kecil pun aman karena area campingnya terawat dan gak terlalu banyak serangga.
5,"11 bulan lalu di 
Google","Area camp-nya luas, kalau ke pantai cukup jalan kaki, tapi jadi aman ga terlalu dingin anginnya Stafnya juga bantu banget saat kita butuh sesuatu"
5,"11 bulan lalu di 
Google","Deket pantai, jadi pagi-pagi bisa langsung jalan ke tepi laut. Suara ombak dan burung  bikin suasana makin syahdu"
5,"11 bulan lalu di 
Google",Camping menyatu alam rasa hotel! Dari fasilitas sampai view-nya gak ada yang mengecewakan
5,"11 bulan lalu di 
Google",Tempatnya bersih banget. Bahkan toilet dan kamar mandi selalu harum. Jarang nemu camping ground sebagus ini
5,"11 bulan lalu di 
Google","Rekomendasi buat yang mau healing di alam. Bisa denger ombak sambil santai di hammock, sempurna banget."
5,"11 bulan lalu di 
Google","pas malam, suasana romantis banget dengan lampu-lampu kecil di sekitar tenda. Cocok buat pasangan"
5,"11 bulan lalu di 
Google","pertama camping disini rasanya langsung jatuh cinta,rencananya mau balik lagi bulan depan"
5,"11 bulan lalu di 
Google",Ada kantin kecil yang jual makanan ringan dan minuman. Cocok buat yang males masak waktu camping
5,"11 bulan lalu di 
Google","Udara segar, tempat tidur nyaman, dan pemandangan laut yang bikin hati adem. Sempurna!"
5,"11 bulan lalu di 
Google",Staff-nya sigap dan ramah. Mereka siap bantu kalau ada masalah dengan tenda atau perlengkapan kita
5,"11 bulan lalu di 
Google","Meskipun ramai, tempat ini tetap terasa tenang. Aturannya bagus, jadi gak ada yang berisik berlebihan."
5,"11 bulan lalu di 
Google","buat yang suka foto-foto, ini tempat impian! setiap sudutnya instagramable banget"
5,"11 bulan lalu di 
Google","Camping sambil denger suara alam itu priceless. Untung di sini lengkap, jadi gak ribet bawa barang banyak"
5,"11 bulan lalu di 
Google","Malam-malam bikin api unggun bareng keluarga, bener-bener pengalaman yang gak terlupakan."
5,"11 bulan lalu di 
Google",View bintang di malam hari bikin hati tenang. Apalagi ada hammock yang nyaman banget buat rebahan.
5,"11 bulan lalu di 
Google","Deket pantai, jadi bisa langsung main air kapan aja. Pasirnya juga bersih banget, anak-anak happy."
5,"11 bulan lalu di 
Google",Suka banget sama vibes hutan dan pantainya. Tempat ini bikin saya pengen sering-sering liburannn
