Rating,Waktu,Teks_Mentah,Tanggal_Scrap
5,11 jam lalu,"Tempatnya memang enak buat camping, ada warung buka 24jam. Pas ngecamp di sini pas rame. Sayang banyak orang2 yg camping masih nyampah. Dari parkiran ke lokasi harus jalan dulu 300m.",2025-12-18
5,2 minggu lalu,🤩🤩🤩🤩🥰🥰🥰🥰🥰🥰 …,2025-12-18
5,2 minggu lalu,"Pantainya bagus view-nya apalagi kalo sunset bisa naik ke bukitnya pemandangan cakep disini juga ada warung,kamarmandi lengkap pokonya mah enak juga buat camp",2025-12-18
5,sebulan lalu,"Pantai yg sangat bagus. Kebersihan harus selalu dijaga. Jajanan di warung sekitar,harga standar & enak².",2025-12-18
2,sebulan lalu,"walaupun pemandangannya bagus cuma terlalu banyak bayarnya, masuk daerahnya bayar 15k, parkir 5k, terus pas mau ke pantainya masih di mintain lagi 2k",2025-12-18
4,sebulan lalu,"Buat pantai nya so far bagus lah, suasana mirip² ala ala seperti di Bali, walaupun sedang di Jogja, view tebing di kanan kiri nya oke banget, tapi sayang kemaren saya dateng pas cuaca mendung gelap, jadi sunset ga dapet, ya gapapa lah hitung² healing, untuk tiket masuk nya ya standar kayak pantai di selatan Jogja pada umum nya  Retribusi       : Rp15.000 / orang Parkir Motor : Rp5.000 / motor Tiket masuk  : Rp2.000 / orang (bukan camp)  jadi kalo biaya itungan buat 1 orang sekitar 27.000 lah 😅🤙",2025-12-18
4,sebulan lalu,"Kalau mau ke lokasi jalan kaki dulu. Kurang cocok kalau mau buat piknik deket pantai, gelar karpet. Soalnya ngga ada tempat teduh yang deket pantai, areanya juga terbatas. Lebih cocok untuk camping. Ada mushola deket pantai dan di dekat …",2025-12-18
4,sebulan lalu,"Kalau mau ke lokasi jalan kaki dulu. Kurang cocok kalau mau buat piknik deket pantai, gelar karpet. Soalnya ngga ada tempat teduh yang deket pantai, areanya juga terbatas. Lebih cocok untuk camping. Ada mushola deket pantai dan di dekat tempat parkir. Tiket masuk ke pantai 2rb. Bapaknya ramah. Kalau dari parkiran luar mau kembali ke pantai lagi cukup lihatin tiket tadi.",2025-12-18
5,sebulan lalu,"Dari parkiran ke pantai harus jalan kaki sekitar 500 meter. Pantainya bersih, fasilitasnya lengkap",2025-12-18
5,sebulan lalu,Keren dan mantap,2025-12-18
5,sebulan lalu,Bisa buat camp kah kalo malam?,2025-12-18
1,sebulan lalu,"buat apa minta restribusi lagi, kalo pantainya banyak sampah. katanya petugas dari pantai sampahnya, jelas jelas yang camp banyak buang sampah sembarangan nyuci wajan piring di laut jorok banget 😭. tidak rekomended. …",2025-12-18
5,sebulan lalu,"Kebanyakan biaya ini itu, dari masuk udah 15k terus parkir 5k masuk pantai 2k, harus jalan untuk menuju pantai, untuk akses jalan masih dalam pembangunan, saran kalau mau ke pantai ngerumput enak hari biasa senin/jum'at kaya pantai privat spot foto banyak poll, ga nyesel pokoknya",2025-12-18
5,sebulan lalu,Sumpah sesuai ekpetasi banget😍 …,2025-12-18
5,sebulan lalu,"Pantai nya bersih pemandangan nya indah, di tambah makin indah lagi karna ada pacarku yang cantik 🌹🌹 …",2025-12-18
5,2 bulan lalu,Sepii bagus bgtt jalannya juga ga susahh bisa buat ngecamp jugaa buruann kesinii😍😍😍 …,2025-12-18
5,2 bulan lalu,Pantai sejuta kenangan dari kecil sampe sekarang dari sebelum jadi tepat wisata sampe sekarang serame ini wkwk soale aku asli wong kene😂 worth it buat yang mau santai santai soalnya kalo siang sampe sore masih agak sepi …,2025-12-18
5,3 bulan lalu,Matahari terbenam terbaik,2025-12-18
5,3 bulan lalu,"Pantai dengan garis pantai sempit tapi memiliki pasiran yang amat halus, kiri dan kanan pantai ini dihimpit oleh tebing karang yang udah ada tangganya. Saya kira spot terbaik dan astetic itu ada di tebing sebelah kanan.  Untuk fasilitas pun komplit, warung makan, toilet dan penyewaan alat camping semua ada di sini. Kebetulan hari itu saya datang hari kamis dan ternyata banyak orang juga, engga kebayang kalau hari sabtu - minggu.  Pokoknya salah satu pantai terbaik di Gunung Kidul lah. Salam hormat, salam santun dari penikmat kilometer asal Tasikmalaya.",2025-12-18
5,3 bulan lalu,"Pantai di daerah gunung Kidul lokasi cocok untuk camp dan fasilitas tergolong cukup lengkap ada kamar mandi mushola dan warung di daerah pantai, disana juga ada banyak persewaan tenda kebetulan lewat diberanda tik tok saya, pemilik warung serta peminjaman tenda sangat ramah dan membantu",2025-12-18
4,3 bulan lalu,"Tempatnya bagus buat nikmatin sunset apalagi di puncak kosakora nya pemandangan pantainya lebih luas, untuk harga camping disini termasuk ga terlalu mahal dan bisa bawa tenda sendiri, tp pesan saya bagi yang mau Camping jangan masang tenda …",2025-12-18
5,3 bulan lalu,"Akses lumayan mudah, bisa untuk camp dan menikmati pantai, sangat cocok untuk wisatawan yang suka tempat agak sepi, pantai juga bersih dari, dan bagi siapapun jaga kebersihan ya supaya tempat ini nyaman dikunjungi",2025-12-18
4,3 bulan lalu,"Tempatnya bagus buat nikmatin sunset apalagi di puncak kosakora nya pemandangan pantainya lebih luas, untuk harga camping disini termasuk ga terlalu mahal dan bisa bawa tenda sendiri, tp pesan saya bagi yang mau Camping jangan masang tenda dekat warung pojok samping kiri, saya kemarin disana cuma gara2 kita beli makanan diwarung yang samping nya bukan warung itu, pemilik nya marah dan  ngusir kita padahal ga ada peraturan tersebut. FOTO WARUNG YANG BERMASALAH ADA DIBAWAH INI",2025-12-18
4,3 bulan lalu,"Dari parkiran ke pantainya jalan kaki turun sekitar 10 menitan dengan jalan setapak. Buat sunset keren banget, banyak yg camping, warung juga banyak dan ga digetok harga. Kalo pulang malem balik dari pantai ke parkiran cuma ada 1 lampu jalan yg hidup, sisanya pake senter atau gelap gelapan. Agak serem wkwk, tapi kalo ramean seru. - parkir mobil 10k - biaya masuk 2k/org  Next time kayanya nyoba ngecamp disana",2025-12-18
