Rating,Waktu,Teks_Mentah
2,3 hari lalu,"Kalau mau ngecamp kamar mandinya harus by booking dulu biar bisa beroperasi kalau nggak booking ya selamat menahan buang air semalaman. Mau sholat juga bingung krn toilet ditutup alternatif pke mineral botol :) Nyari pantai yang pasti-pasti saja akses dan fasilitasnya, meskipun bayar tidak masalah asal dibuka aja dulu karena yang namanya ngecamp pasti akan butuh air."
5,5 hari lalu,"Berkunjung hari biasa (di bulan Desember), pantai ini menyuguhkan keberadaan laut Jogja yang aman dan tentram sehingga buat healing juga oke. Bisa untuk ngecamp juga di sini. Untuk masuk ke area pantai harus turun terlebih dahulu kaya naik gunung gtu vibesnya. Kalau kita pulang nanjak.  Saran: 1. Kamar mandi parkiran diperbaiki sehingga kita sebagai pengunjung bisa nyaman untuk buang air atau bilas. 2. Penjual di dekat area gunung bisa menyajikan makanan yang lebih variatif."
4,seminggu lalu,effort sekali perjalanan dari parkiran menuju destinasi
5,seminggu lalu,"pantai hidden gem , cantik bgt aq mei ksini bru ksih ulasan hehe, menuju pntai jalan jauh dri parkiran ktemu byk monyet ,pulang nya ngeri bgt hampir dikejar anjing 2 ekor lari ke arah kita menggonggong ky mau ngejar untung ada monyet kya ngehalangin gtu ,monyet nya kya ngjak berantem si doggy, paksu udh berusha nenangin anjing nya smbil jalan mundur jg"
5,seminggu lalu,seruuu
5,seminggu lalu,bagusss
5,2 minggu lalu,"Hidden game sini mah, tapi sekarang dah mulai rame wkwk view di tengah"" tebih atau di cepit 2 tebing kanan kiri"
4,3 minggu lalu,"Pantai dengan pasir yg gak begitu halus dengan  banyak karang, pantai ini gak bisa buat berenang karena banyak karang"
5,4 minggu lalu,Mantaff
5,sebulan lalu,"Pantainya okee, masuknya 10 rb, parkir beda lagi, jalanan menuju pantainya harus jalan lagi kurang lebih 1 km, dan terjal melewati kek hutan gitu, tapi aman kok. Cuman baliknya agak PR karena nanti nanjak, pemandangannya bagus, pantainya juga bersih, banyak karang nyaaa, toiletnya juga adaa"
3,sebulan lalu,Pantainya sih bagus. Tapi akses jalan menuju pantai nya agak sulit. Sangat tdk recomended sekali utk keluarga yg bawa anak kecil dan orang tua. Karena jalannya naik turun gunung dan lumayan licin kalo waktu hujan. Cocok utk pasangan muda mudi yg suka travelling.
5,sebulan lalu,"Ramah, indah"
