Rating,Waktu,Teks_Mentah
5,2 tahun lalu,"Tempat wisata alam yg menarik. Ada camping ground, motor trail mini, spot foto, agrowisata. Cuaca saat siang dan cerah bisa sangat panas dan terik namun ketika malam udara menjadi sejuk. Ga perlu pasang musik untuk memeriahkan suasana, karena kalo malem banyak suara jangkrik dan kodok yg menemani"
4,2 tahun lalu,"Tempat parkir luas, banyak aneka jajanan. Tidak ada retribusi. Fasilitas istirahat joglo, toilet & mushola ada. Pemandangan bagus. Top lah tempatnya"
4,3 tahun lalu,"Tempat wisata alam, dengan icon batu vulkanik. Lokasinya strategis dekat dengan jalan. Bisa untuk pertemuan dan acara kemah. Tersedia toilet, warung jajan makanan dan minuman."
5,4 tahun lalu,Dari klaten mampir tempat e simbah di ngawen gunungkidul terus cari tempat spot foto2 bareng sama keluarga Lokasinya luas
5,3 tahun lalu,Tempat asri sejuk enak buat santai sambil lihat pemandangan alam
5,4 tahun lalu,"wisata alam n kuliner di bulan puasa, semogat masih terus berlanjut n semakin maju n berkembang untuk UMKM di sekitar nya."
5,3 tahun lalu,"Tempat bermain yg luas ada gazebo dan balai pertemuan,, ada toilet,, view batu2 yg bagus,, cocok untuk kamping"
5,4 tahun lalu,panoramanya indah.. bisa untuk foto/film kolosal
5,3 tahun lalu,"Tempat yang bagus untuk berlibur. Hanya saja pada siang hari, cuaca bisa terasa sangat panas"
5,4 tahun lalu,Tempat yang cukup baik saat uji Pancar Radio HF 27MHz hingga bisa tembus ke Eropa
5,4 tahun lalu,semoga pandemi segera berakhir..wisata2 segera ramai kembali.
5,4 tahun lalu,"Asyik untuk menikmati pemandangan, apalagi menjelang sore lebih sejuk untuk melihat sunset."
5,2 tahun lalu,"Tempatnya sejuk walau pas siang hari, krn anginnya lumayan kencang"
5,4 tahun lalu,"Cantik bgt pas lagi cuacanya mendukung,"
5,3 tahun lalu,"Wisata Watu Gendong, recommended kesini pagi atau sore. Areanya lumayan luas, parkiran mobil ada. Hanya saja kalau kesini pas lagi hujan jalannya becek karena sebagian besar areanya masih tanah sama rumput."
5,4 tahun lalu,Luas banget tempatnya.
5,3 tahun lalu,Kalau kesini feel so fresh 🖤 …
2,2 tahun lalu,Lumayan ! Calculatore error' ! 2 esteh 2 nasih tumpang 2 telor dadar 4 krupuk 80 RB !
5,3 tahun lalu,"Tempat nongkrong & kulineran di alam terbuka, sejuk dan asri... Kadang ada live musiknya juga"
5,4 tahun lalu,"Tempatnya bagus. Tapi sayang wcnya tidak ada air, lalu rumput rumput liar banyak sekali, dan tidak ada penjagaan sama sekali"
3,2 tahun lalu,Menjelang sore lebih syahdu hehehee
5,3 tahun lalu,Recomeded..wisata murah meriah
5,2 tahun lalu,Tempat nyaman untuk menikmati keindahan alam Gunungkidul sisi utara
5,3 tahun lalu,Bagus buat ngopi dan santai atau sekedar melepas lelah biar fresh lagi
5,3 tahun lalu,Cocok buat campinh
5,3 tahun lalu,Cocok buat santai ... suasanya nyaman dan tdk begitu bising
5,4 tahun lalu,"Akses jalan bagus, ada jajanan ringan jg ada makanan berat"
5,4 tahun lalu,Sakorane ak pernah rene
4,3 tahun lalu,bagi yg ingin liburan hemat tempat ini sangat cocok
4,3 tahun lalu,"Tempat bermain baru di wilayah kelurahan beji, Gunungkidul..."
5,2 tahun lalu,Lumayan buat santai dan kulinernya khas
5,3 tahun lalu,Cocok untuk berbagai kegiatan outdoor... Nyaman.. 😌 …
5,3 tahun lalu,Murah meriah dan akses mudah dijangkau kendaraan apapun
5,3 tahun lalu,Asiikk..menarik..pemandangan mengesankan
