Rating,Waktu,Teks_Mentah
5,"3 minggu lalu di 
Google","worth it dengan harga 350k (tenda panggung) untuk 4 org dengan fasilitas kamar mandi, tenda, kasur, selimut, teko listrik, dan dapet sarapan. oh iya dpt akses kolam renang jg, tp agak licin kolamnya karena permukaannya dr batu gt jd udh agak berlumut. minusnya pas naik ke umbulnya sih, nanjak bgt jalanannya."
5,"3 minggu lalu di 
Google",Tempat yang menyenangkan dan menenangkan untuk berlibur melepaskan diri dari penat kehidupan dan hiruk pikuk perkotaan
5,"sebulan lalu di 
Google",Joss
5,"2 bulan lalu di 
Google",Lokasi dan pemandangan yang bagus.
4,"3 bulan lalu di 
Google","Spot menuju lokasi mngkin perlu perbaikan dr arah jalan bawah (jgn lupa ptunjuk arah beri spot light KLO malam biar jelas kliatan) , arah turun-naik was-was berhimpitan dgn mobil besar , area parkir ke tenda cukup jauh (masukan saja ,selalu …"
4,"3 bulan lalu di 
Google","Spot menuju lokasi mngkin perlu perbaikan dr arah jalan bawah (jgn lupa ptunjuk arah beri spot light KLO malam biar jelas kliatan) , arah turun-naik was-was berhimpitan dgn mobil besar , area parkir ke tenda cukup jauh (masukan saja ,selalu dibantu sediakan Potter/apapun yg bsa membantu pengunjung/penginapan di tenda bsa nyaman u/ bawa² beberapa perabotan mereka) terlbh bawa anak kcil², hrus LBH kids friendly lgi, lokasi cukup oke untuk melihat sunrise , spot main drtpat A,ke tmpt B dll cukup woaaahhh Mayan Krn dr kontur tanah jg berbukit², pelayanannya saja perlu perbaikan  LG ya, sarapannya cukup ok ."
5,"4 bulan lalu di 
Google",Menyenangkan
5,"4 bulan lalu di 
Google",Rekomended bgt buat camping murah 200 ribuan tinggal masuk tenda sudah ada matras dan sleeping bag. Sudah free kolam renang
5,"5 bulan lalu di 
Google","View bagus, udara enak,  staff  dan semua petugas yg jaga ramah, sebenernya betah dan gak mau pulang, tp harus turun dan kembali ke habitatnya, pokoknya insyaallah kesini lagi😁😁"
5,"5 bulan lalu di 
Google","Pertama kali camping di umbul sidomukti 😍😍😍 daannnn anak ku ga mau pulang betah bgt camping dsni selain udara yg dingin view nya jg juara, staff ramah, pkoknya mantab dan very recomend 😍🤗 …"
5,"6 bulan lalu di 
Google","Selain keberadaan taman bermain dan kolam renang yang indah, Umbul Sidomukti juga menawarkan pengalaman menginap di alam terbuka alias camping bagi para pengunjung. Mendirikan tenda disini merupakan pengalaman menyenangkan karena bisa menikmati pemandangan yang indah dan suasana sejuk pegunungan untuk relaksasi tubuh yang letih"
