Rating,Waktu,Teks_Mentah
5,Diedit 2 minggu lalu,Kamp
5,sebulan lalu,pemandangan alam yang menakjubkan
4,2 bulan lalu,"Bagus. hanya saja tenda nya membuat agak panas apalagi saat siang, terasa sangat membakar"
5,Diedit 2 bulan lalu,tempat yang sejuk dan rapi
5,3 bulan lalu,"Tempat bersih fasilitas lengkap, untuk Juga Ada Jeep untuk Jelajah Merbabu dan UMKM disekitar dengan harga terjangkau"
5,3 bulan lalu,"Bagus banget tempatnya, terkonsep dan guide nya super duper membantu. ♥️♥️♥️"
5,3 bulan lalu,"Sangat menyenangkan untuk camping ceria. Nyaman. Disediakan banyak toilet bersih, disediakan colokan listrik. Pemandangan bagus. Murah pula."
5,5 bulan lalu,Bagus
5,6 bulan lalu,"Tempat bagus dan bersih, Cuma Akses jalannya cukup menantang dan jika papasan tidak bisa"
5,6 bulan lalu,"JJB Jateng DIY Daihatsu Taruna Club (DTC), 14-15 Sept 24"
5,7 bulan lalu,"Tempat adem,jauh dari kebisingan,indah dengan view rawa pening dan kota sekitar,suasan malam lebih syahdu untuk camping. Pengelola ramah dan humanis,jika acara Camp kadang ada kunjungan dari pemdes polobogo,familiar banget..."
5,9 bulan lalu,"Tempat ini!! Ramah untuk berkemah!! Enak, sejuk, dekat. Wow"
5,10 bulan lalu,"Dingin, bagus pemandangannya terlihqt gunung dan danau"
5,10 bulan lalu,"Tempatnya asri dan sejuk, sudah lumayan ramai dengan pemukiman masyarakat. Fasilitas lumayan lengkap, kantin, toilet, gazebo, mushola,parkir luas banget. Wajib kesini untuk yang mau nge camp"
5,10 bulan lalu,Always Loving You Tiyang Polobogo mas ateng
5,11 bulan lalu,Sangat cepat rekomendasi
5,11 bulan lalu,"Murah meriah , bersih , toilet ready , pondok kopi dan tempat jajan makanan ready. View jossss"
5,11 bulan lalu,Adem
5,Diedit setahun lalu,"3 kali ke sini, sekali ikut acara, 2 kali bikin acara dengan 2 spot berbeda, terakhir di lantai 2 nya, lumayan luas walau cuma ada 1 pendopo aja, di bawah lebih lengkap ada pendopo, gazebo, taman kelinci, aviary , musholla dan warung. Pengelola sangat ramah, tarif terjangkau cenderung murah."
5,setahun lalu,"Tempat yang bagus, cocok untuk bersantai dan berkemah, kita bisa melihat pemandangan yang indah apalagi disaat senja / malam hari."
5,setahun lalu,"Asik untuk kemping kluarga,,👍👍 …"
