Rating,Waktu,Teks_Mentah,Tanggal_Scrap
5,sebulan lalu,Menarik & tempat bagus,2025-12-19
5,2 bulan lalu,"Aman,",2025-12-19
5,5 bulan lalu,Cukup Nyaman untuk melatih hidup di alam terbuka,2025-12-19
5,8 bulan lalu,Tempat yg cocok untuknanak anak dan kemah,2025-12-19
5,setahun lalu,Tempat nya bagus,2025-12-19
5,setahun lalu,"Tempat yg enak untuk berkemah murid2 SD dan SMP. dengan fasilitas kamar mandi besertabair hangatnya. Cuma tidak ada mushola. Cerita dari anak2 kami,sholat dilakukan di bekas gereja. Mohon untuk bisa difasilitasi sebuah ruang untuk",2025-12-19
4,setahun lalu,"baguss, udara nya segar nyaman dan higienis🍃💦 …",2025-12-19
5,setahun lalu,Bagus view,2025-12-19
4,setahun lalu,Yaa mayan bagus hehehe,2025-12-19
5,2 tahun lalu,Tempat yang bagus untuk berkemah,2025-12-19
5,2 tahun lalu,Oke👍 …,2025-12-19
5,2 tahun lalu,Pelayananan yang baik dan sangat ramah,2025-12-19
5,2 tahun lalu,Nyaman.  Selimut kecil n tipis untuk ukuran orang dewasa yg menginap.,2025-12-19
5,2 tahun lalu,nyaman untuk acara organisasi..nuansa outdoor.. ada aulanya juga bisa untuk sekitar 100 org.kamar mandi banyak. pelayanan ramah,2025-12-19
5,2 tahun lalu,"Pas kesono pas Malem minggu,rame bnget... Kopi nya mak nyus,baristanya kayaknya prof banget...ngerti selera kita... Pisang gorengnya kriuk... Mantep pokoknya...",2025-12-19
4,2 tahun lalu,Hawanya sejuk dan tempatnya nyaman MCK lumayan tdk terlalu bersih juga tidak terlalu kotor.,2025-12-19
5,2 tahun lalu,Pokonya kesini deh wis.,2025-12-19
5,2 tahun lalu,Bisa order mebel / furnitur sesui ke inginan,2025-12-19
4,2 tahun lalu,"Tempatnya bersih, toilet banyak dan ada fasilitas air hangat.",2025-12-19
3,2 tahun lalu,Lokasi nyaman,2025-12-19
4,2 tahun lalu,tempat a bgs bgt,2025-12-19
5,2 tahun lalu,Transit aj. Sekilas asik sih,2025-12-19
4,2 tahun lalu,"Area kemahnya luas, booking are murah, cuma kebersihan area gedung agak kurang.",2025-12-19
5,3 tahun lalu,Aman nyaman,2025-12-19
5,3 tahun lalu,"Alhamdulillah rutin gurah mata, mata minus rutin sedikit-sedikit",2025-12-19
5,3 tahun lalu,"Lokasi luas, bisa untuk outbound, camp, dll Banyak kamar tidur (bangsal) dan kamar mandi. Udaranya sejuk, adem.",2025-12-19
5,3 tahun lalu,Tempat nyaman. Oke. Parkir memadai. View bagus. Ada peralatan barbeque. Cocok buat nginap sama keluarga/teman..,2025-12-19
5,3 tahun lalu,tempat yang bagus untuk berkemah,2025-12-19
5,3 tahun lalu,"Tempatnya enak, pelayanan bagus, makannya jg enak",2025-12-19
5,3 tahun lalu,Cocok buat Outbond,2025-12-19
5,3 tahun lalu,"Tempat perkemahan, dekat jalan utama",2025-12-19
5,3 tahun lalu,Pengalaman,2025-12-19
4,3 tahun lalu,Bagus,2025-12-19
4,Diedit 3 tahun lalu,"Pelayanannya ramah n sigap, tempatnya lumayan dech",2025-12-19
5,3 tahun lalu,Enak t4nya adem.. Nyaman.. Penjaga jg ramah..,2025-12-19
5,3 tahun lalu,Tempatnya bagus,2025-12-19
3,3 tahun lalu,Penginapan,2025-12-19
5,3 tahun lalu,Suasana nya enak .. Dan indah,2025-12-19
4,3 tahun lalu,Nyaman & tenang,2025-12-19
5,3 tahun lalu,Dinggiinnn,2025-12-19
4,3 tahun lalu,Tenang,2025-12-19
5,3 tahun lalu,Lokasi worshop.,2025-12-19
4,4 tahun lalu,"Enak, tempatnya nyaman, tenang, pelayanannya bagus, masakannya juga lumayan enak..",2025-12-19
5,4 tahun lalu,DAN,2025-12-19
