Rating,Waktu,Teks_Mentah,Tanggal_Scrap
5,4 hari lalu,"Tempat dimana Siksorogo Lawu Ultra selalu dilaksanakan. Kalau event ini lagi diselenggarakan maka bumi perkemahan ini ditutup total beberapa hari untuk mendukung acara gelaran akbar Trail Running di Indonesia. Kondisinya asri dan sejuk, akses mobil bisa sampai lokasi, hanya saja public transport belum ada, hanya ojek pangkalan aja yg ada.",2025-12-17
5,sebulan lalu,sangat okee,2025-12-17
5,sebulan lalu,outbond dan hok a hok e bersama teman teman,2025-12-17
3,2 bulan lalu,"Mantap,",2025-12-17
5,2 bulan lalu,Bagus,2025-12-17
5,2 bulan lalu,"Waktu tenang kalou sudah jam 00.00, sebelum itu bising kalou pas ada acara.",2025-12-17
5,3 bulan lalu,"Cuacanya bagus, ayo istirahat 😍 …",2025-12-17
4,3 bulan lalu,Nyaman,2025-12-17
5,3 bulan lalu,Sangat asri dan menawan,2025-12-17
4,3 bulan lalu,Hidup lebih bermakna jika kita tahu tentang menghargai waktu untuk diri sendiri,2025-12-17
5,3 bulan lalu,"Area camping alamiah, natural",2025-12-17
1,3 bulan lalu,Sampai dsna malam ternyata camping ground nya ditutup 🙁 …,2025-12-17
5,4 bulan lalu,"Menarik, pemandangan indah pohon tinggi² menjulang.",2025-12-17
4,Diedit 4 bulan lalu,Nyaman utk liburan,2025-12-17
5,4 bulan lalu,"dinginn, enaak",2025-12-17
5,5 bulan lalu,alhamdulillah,2025-12-17
1,5 bulan lalu,"Kemping sabtu 6 juli 2025, Aturan jam malam tidak jelas. Tdk diterapkan oleh pengelola untuk mendisiplinkan pengunjung. Jam 00.30 tengah malam pengunjung masih berteriak2 utk acara, maupun menyetel musik sangat keras utk karaoke. Hingga sulit utk istirahat",2025-12-17
4,5 bulan lalu,Saat cuaca dingin banget,2025-12-17
1,5 bulan lalu,"Kagak jelas administrasi,,yang dilapangan bilang a di pos b ga JELASSS",2025-12-17
5,5 bulan lalu,"Seru, tempat perkemahan yang direkomendasikan.",2025-12-17
1,5 bulan lalu,"Bagus tempatnya, tapi berisiknya nggak ngotak... termasuk yg di villa2. Karaoke sampai jam 12 malem, bahkan lewat, nyetel musik pada kenceng2an... trail/mini trail sewaan yg knalpotnya berisik... perlu ada perbaikan aturan dan kesepakatan antar pengelola demi kenyamanan bersama.",2025-12-17
5,5 bulan lalu,Sekedar luar biasa Saya Pernah lewat taman ini Tapi hanya perkemahan 😭 …,2025-12-17
5,6 bulan lalu,jajak pendapat Iyup,2025-12-17
2,6 bulan lalu,harusnya ⭐5. dikurangi 3 karena : 1. suara berisik dari knalpot motor² rental. sebaiknya diganti motor listrik semua. 2. suara berisik mobil² jeep kw lalu-lalang. sebaiknya knalpot dibikin senyap atau standarnya. 3. suara berisik dari loudspeaker yg dibawa pengunjung. satu kelompok pengunjung merasa gembira tapi pengunjung lainnya terganggu. bagi yg hendak camping disini diharap maklum saja 😂,2025-12-17
4,6 bulan lalu,Lewat aja sih 🤣 …,2025-12-17
4,7 bulan lalu,"Camping disini saat long weekend di bulan mei, suasana menyenangkan karena ramai, kita bisa camping di dekat mobil sehingga memudahkan mengambil barang di mobil. Suasana dekat sungai, dan hutan pinus yang sejuk, sangat tenang dan damai. …",2025-12-17
1,7 bulan lalu,"Tolong untuk pengelola. Bila ada kegiatan acara tertentu di tertibkan. Hari minggu tgl 11 Mei, dtg untuk berkemah, dsna ada acara. Banyak kerusuhan termasuk perkelahian, bahkan minum2an keras yg seharusnya dilarang tp banyak sekali org2 minum  Istri dan anak saya sempat ketakutan karena mereka mabuk di sekitar tenda kami.  Bahkan hari ini saya pulang ternyata motor yg saya bawa send nya di patahkan sebalah kiri.  Sangat tidak nyaman Mohon diperbaiki peraturan dan keamanan nya",2025-12-17
4,7 bulan lalu,Tempatnya sejuk. View bagus. Mohon untuk lebih diperhatikan lagi toilet dan musholanya,2025-12-17
4,7 bulan lalu,Oke laj,2025-12-17
4,7 bulan lalu,"Camping disini saat long weekend di bulan mei, suasana menyenangkan karena ramai, kita bisa camping di dekat mobil sehingga memudahkan mengambil barang di mobil. Suasana dekat sungai, dan hutan pinus yang sejuk, sangat tenang dan damai. Sayang sekali kesini saat cuaca hujan, lebih baik camping saat cuaca cerah pasti lebih baik. Minus dsini air di toilet sangat kurang sehingga pesing, padahal dekat sungai dg air melimpah, tapi di toilet air tidak ada. Colokan listrik tersedia, sehingga aman untuk charge hp atau lampu.",2025-12-17
