Rating,Waktu,Teks_Mentah,Tanggal_Scrap
5,"3 minggu lalu di 
Google","Kamar lumayan nyaman. Udara dingin, segeer. Pemandangan bagus. Suasana nyaman..",2025-12-18
5,"sebulan lalu di 
Google","Mohon maaf sebelumnya kamar tidak saya riview, soalnya saya berkunjung Camping dgn bawa peralatan sendiri jadi saya tidak tahu tentang fasilitas kamar yg ada, untuk camping di sini kita di kenai HTM Rp 40.000/ orang dewasa, untuk anak anak free, tempatnya bersih, kamarmandi juga terawat, untuk pasokan air aman, listrik aman.",2025-12-18
5,"sebulan lalu di 
Google",Bagus,2025-12-18
3,"sebulan lalu di 
Google",Terlalu ke dalam....suasana lengang klu malam hari,2025-12-18
5,"sebulan lalu di 
Google","Ketinggian 2020mdpl bayangin sedingin apa dan water heater matiii Dah diperbaiki ttep ga bisa, mau ga mau ttep harus mandi Suasana oke, view gn lawu, ke coffe shop deket tinggal jalan",2025-12-18
4,"sebulan lalu di 
Google","halaman luas,parkir ok,,buat outbound juga asik",2025-12-18
4,"6 bulan lalu di 
Google",Bagus banget service nya tetap pertahankan ya min Cuma minus di bagian kamar mandi dan aulanya supaya penerangannya ditambah,2025-12-18
5,"7 bulan lalu di 
Google","Kamar mandinya lumayan bersih tapi tempat wudhunya banyak lumut khawatir licin. Listriknya sempet mati beberapa kali. Untuk view bagus bgt dan dingin bgt asli (mending bawa sleeping bag). Terus deket cafe 2020 mdpl, lumayan lah kalau laper makan malam bisa kesana (sabtu malam).",2025-12-18
3,"Diedit 7 bulan lalu di 
Google","kali kedua camp di sini. yg pertama di tengah lapang ga ada masalah. trakhir camp di area camper van. sebenernya g ada masalah sama tempatnya. kita juga udah bilang sm ptugas mau camp di area camper van. karena kita juga pernah tahu tempat tsb memang dipakai untuk campervan, meski akses listrik sedikit jauh ga masalah.tapi saat pagi tiba ternyata area itu adalah tempat berfoto para jeep wisata yg tiba2 aja nyelonong ke area tenda kami. ga pake babimu, permisi atau nyapa mereka hampir nabrak kursi dan tenda dan posisi kami tengah masak. maksudnya gini.  kenapa g ada penjelasan kalau tempat itu adalah area foto? dan sebenernya bisa kan ya orang yg naik jeep turun sebentar untuk berfoto. bisa juga kok ngomong permisi kek apa kek. masalahnya kami kan juga bayar dan tidak dilarang di area tsb. saya pernah juga kok wisata jeep tapi rute ke singolangu / kampung batik.. lagipula harusnya kan ada koordinasi petugas dan orang jeep kalo ditempat itu ada yg sedang camp. kalau sampai nyenggol properti kami jeepnya mungkin bakalan dilawan sm suami. unggah ungguhnya ga ada samsek para drivernya, dan ga satu dua jeep loh itu rombongan jeep. padahal diatas udah ada mobil dan tenda kami. tolong diperhatikan lagi.kalo memang utk lewatan jeep ya jangan dibuka untuk camping lah. kasian yg camping. masak tenda mau digotong kan ga gitu juga ya. kecewa banget loh. padahal yg lain2 udah oke. dan kalo yg kemarinkesan baik pengen ngajak yg lain campervan an. tp kalo begini ya bikin kapok.  dan bener dangdutan dari rombongan lain sampai malam banget, mungkin ga masalah kalo area ini cuma buat camping ya. tp ada villanya juga loh nah kebanyakan orang villa kan pengennya malam tuh tenang ya. kalo kayak saya yg biasa camping sih mungkin ga masalah ya.",2025-12-18
3,"8 bulan lalu di 
Google","Jualan view dan suasana, untuk room nya standart saja",2025-12-18
