Rating,Waktu,Teks_Mentah
5,2 bulan lalu,"Buruan kesini, bagussss"
1,3 bulan lalu,"Untuk Kebersihan kamar mohon dengan teramat sangat sangat untuk lebih diperhatikan !! Banyak tisu kotor di sudut kamar, Sprei kotor banyak bercak noda seperti tidak dicuci, kamar berdebu, wc bau pesing, lantai wc sangat kotor tidak di gosok, toilet duduk kotor. Kami berdua sudah menginap semalam rasanya seperti menginap di rumah terbengkalai."
5,7 bulan lalu,Alhamdulillah
5,setahun lalu,"View sangat recommended, petugas2 nya Ramah, seafood nya enak..."
5,setahun lalu,Viewnya sangat bagus
5,setahun lalu,"Pelayanannya ramah,baik"
4,setahun lalu,Untuk pelayanan oke. Mungkin lebih ke perawatan fasilitas saja yg perlu ditingkatkan.
1,setahun lalu,pelayanan tidak memuaskan
1,setahun lalu,pelayanan buruk
5,setahun lalu,Besar
4,setahun lalu,"View nya eksotis banget, apalagi menjelang sore menambah keindahan pantai Menganti"
1,setahun lalu,"Administrasinya berantakan,khususnya booking online. Masih pakai manual dan vendor yang amburadul dan kurang bertanggungjawab atas tamunya. Apalagi hari libur nasional. Perlu koreksi yang sangat parah"
5,setahun lalu,"Mantap, servis pegawai sewa tendanya sangat baik, ramah sekali, patut diacungi jempol"
5,setahun lalu,kemarin tgl 25 Desember ke pantai menganti Aku dan keluarga Camping di situ Luar biasa Ramai bangett ... pokok nya keren banget tempatnya 👍👍👍 …
5,setahun lalu,"Bagus camping disini ga terlalu dingin,pas cuaca cerah angin jg ga terlalu kencang, tapi sayang toilet & musola ngantri bgt, pernah kehabisan air juga, tambah lagi toilet deket bukit camping, listriknya jg mudah2an lebih bgs lagi ga mati2"
5,2 tahun lalu,di tempat camping ada listrik nya gak sih di tendanya biar bisa charge handphone kalo ada listrik nya sih oke banget
5,2 tahun lalu,Pantai menganti naik ke bagian Bukit campingnya pemandangannya sangat bagus sekali... Buat foto mantap... hari minggu sangat ramai pengunjung... perjalanan ke pantai jalannya sangat terjal naik turun... harap hati hati ya harus pakai motor yg kondisinya Fit
5,3 tahun lalu,"Bisa camp juga disini, tapi serem anginnya gede banget"
4,3 tahun lalu,terimkasih
5,3 tahun lalu,pemandangan terbaik
5,3 tahun lalu,Bagus view pantainya.. cocok buat healing
5,3 tahun lalu,"Salah satu objek wisata unggulan di kabupaten Kebumen, selain menyajikan pemandangan laut yg indah juga terdapat hamparan pantai pasir putih yg mempesona serasa berada di pulau Dewata. Tempat ini sangat cocok buat anda yg ingin menikmati pemandangan samudera Hindia (Pantai Selatan) dari atas tebing. Pengelola setempat juga sudah menyediakan villa penginapan dengan biaya terjangkau, atau bila tidak, bisa juga hanya sekedar camping dgn membawa tenda pribadi. Pokoknya jangan lewatkan kesempatan singgah ke tempat ini bila anda berada di Kebumen."
4,3 tahun lalu,Sangat exotic tak ada duanya
1,3 tahun lalu,Sangat bgs
5,3 tahun lalu,Pantai atau tempat wisata yang terdapat bukitnya sehingga bisa memandang pemandangan yang jauh dari atas bukit...bisa memandang hamparan pantai dengan air yang biru apalagi kalau cuaca cerah
5,3 tahun lalu,View ajib.. kombinasi nelayan..pantai.. bukit Allohhuakbar..Keren
4,3 tahun lalu,"Butuh perjuangan untuk menikmati Pantai Manganti, Isdebes"
5,3 tahun lalu,Sangat indah
4,3 tahun lalu,"Pantai dan batu karangnya bersih dan indah... . Dalam kondisi jalan macet seperti liburan idul fitri, pengemudi dituntut hati2dan sabar, karena ada bagian jalan turun dan naik nya panjang..."
5,3 tahun lalu,"Semakin bagus dan estetik pemandangan di puncak mengantinya, banyak item pilihan untuk bigrond berfoto dan selfi. Aneka jajanan dan minuman: es kelapa muda, es teh, jus, es kopi, dll. Aneka gorengan tetutama khasnya mendoan goreng plus …"
5,3 tahun lalu,Mantab jiwaaa
4,3 tahun lalu,Panorama indah aman nyaman bersih
4,3 tahun lalu,Rekreasi pantai selatan yg tdak membosankan
5,3 tahun lalu,View nya bagus. Ada armada shuttle nya dari halte parkiran sampai ke bukit. Dan gratissss juga armada shuttle nya. Banyak spot spot foto yang Instagrameble . Ada gazebo gazebo juga. Cocok untuk wisata bersama keluarga besar atau pun bareng teman2. Jangan lupa juga untuk makan di rumah makan nya yang banyak pilihan menu makanan seafood nya yang mantab. Walaupun akses menuju lokasi agak curam tapi wortit sekali untuk didatangi. Terimakasih
5,3 tahun lalu,"Tempatmya sepi, asik buat foto2 dan menikmati keindahan alamnya"
4,3 tahun lalu,Indah dan asri
5,3 tahun lalu,... Indahnya....
5,3 tahun lalu,Menakjubkan sekali
5,3 tahun lalu,Lumayan
5,3 tahun lalu,cukup mengagumkan
5,3 tahun lalu,Terbayar sudah adrenalin saat melewati jalan yg berliku naik turun bukit
5,3 tahun lalu,MasyaAllah bener2 kereeeen walau harus melalui jalan2 berliku naik turun menanjak yg curam
5,3 tahun lalu,"Karena masalah tidak ada jalan keluar, Ahirnya kita yang keluar jalan"""
5,3 tahun lalu,Cantik sekali....
5,3 tahun lalu,"Masyaallah. Bukit gunung yang hijau dipadukan dengan warna langit dan laut biru. Bisa ngecamp juga, bisa disini, bisa juga di pantai yang bawahnya yg bisa dipake renang. Pas kesini desember 2021, tarif masuk utk ngecamp disini kena 17.500. …"
5,3 tahun lalu,Jos
5,3 tahun lalu,Makin joss
5,4 tahun lalu,Pemandangan alam yang sangat indah
5,4 tahun lalu,Tempat wisata pantai yg indah dan exotis..pemandangan dan udara yg segar
5,4 tahun lalu,Atas
5,4 tahun lalu,Ada nomer watsap customer servisnya?
5,4 tahun lalu,Sangaaat... Sangaaaat bagus view nya.. Gak bosan2 dan bikin betah  😍😍 …
5,4 tahun lalu,Gk kecewa jauh² dari semarang naik motor
5,4 tahun lalu,Sangat indah sekali..puas sekali mata ini di manja ke indahanya Ga kalah sama pantai kuta Bali Pelayananya ramah memuaskan Cuma harus dengan kendaraan yg sehat ke lokasi .karena jalan menuju lokasi sangat menanjak dan menurun..alias rutenya ekstrem..👍😃 Love Kebumen.
4,4 tahun lalu,keren banget
3,4 tahun lalu,Tidak menyesal sampai pantai menganti kebumen tempatnya bagus sekali walaupun perjalanan 3 jam.. alhamdulilah senang sekali..
4,5 tahun lalu,Pemandangan yang indah
5,6 tahun lalu,Mantap.indah sekali pemandangannya
5,6 tahun lalu,Indonesia banget
5,6 tahun lalu,Pemandangan yang bagus
