Rating,Waktu,Teks_Mentah
4,sebulan lalu,"Kesini tgl 8-9 November, hujan dari siang-malam. Karena masih ada perbaikan arean parkir(?) dekat basecamp jalanannya becek dan licin. Pelayanan kurang, mungkin bisa ditingkatkan lagi. Tenda yang kami sewa rembes semua karena ditempatkan dibawah jalan air. Udah dikasih terpal tambahanpun tetep rembes, akhirnya terbangun jam 2 sampai pagi. Ada colokan dibawah lampu penerangan camping ground. Fasilitas toilet bersih,cukup banyak, ada mushola juga. Viewnya memang bagus karena paginya dikasih cerah."
1,sebulan lalu,"pelayanan kurang pake banget,teh bau lembing | Bisa di ceritakan kronologisnya kak, buat bahan kita evaluasi , dan pemesanan perlengkapan tenda sama siapa?"
2,3 bulan lalu,"Bintang 2 aja. Masih banyak kekurangan antara lain ; * listrik yg dibatasi, * Ga ada kran / sumber air bersih * Ga ada toilet disekitar camping Ke toilet harus jalan jauh dan berbayar. Kami camping ber4, kencing 4x = 32.000, mandi 2x = 40.000. jadi 72.000 hanya untuk ke toilet... | mksh untuk masukannya kak  untuk listrik baru nyala memang dari jam 5 sore sampe jam 6 pagi untuk kamar mandi memang dari area camp sekitar 30 an meter. … Lainnya"
2,3 bulan lalu,"Cuma bagus dari segi pemandangannya saja. Pelayanan sangat sangat kurang. Kebetulan saya dan rombongan dapat tenda di bagian paling atas, persis di dekat cottage glamping. Waktu itu memang sedang musim hujan, tenda kami bocor atas, bawah, dan samping. Tenda udah di posisi paling atas, dan dapet rejeki aliran air yang coklat seperti susu Milo.  Aduh minimal kasih perhatian lah atau dapat pengembalian uang berapa persen gitu. Malah ditawarin buat pindah ke cottage itu, iya kalo gratis... | Terimakasih atas kunjungannya bossku, dan terimakasih sekali untuk saran dan kritiknya yg sangat bagus ini, akan kami jadikan bahan evaluasi untuk perbaikan"
5,4 bulan lalu,mksh kak
4,4 bulan lalu,mksh
5,4 bulan lalu,Mau lagi ngecamp di Menganti. Bisa liat view laut dan bukit di satu tempat | Terimakasih kunjungannya kak
5,4 bulan lalu,"Kebetulan pas turun hujan,, tapi masih aman | mksh kunjungannya kak"
5,4 bulan lalu,mksh
2,3 bulan lalu,"Bintang 2 aja. Masih banyak kekurangan antara lain ; * listrik yg dibatasi, * Ga ada kran / sumber air bersih * Ga ada toilet disekitar camping Ke toilet harus jalan jauh dan berbayar. Kami camping ber4, kencing 4x = 32.000, mandi 2x = 40.000. jadi 72.000 hanya untuk ke toilet... | mksh untuk masukannya kak  untuk listrik baru nyala memang dari jam 5 sore sampe jam 6 pagi untuk kamar mandi memang dari area camp sekitar 30 an meter.  dan untuk kamar mandi memang umum, bukan fasilitas kak untuk buang air kecil 2000 untuk buang air besar 3000 untuk mandi 5000"
