Rating,Waktu,Teks_Mentah
3,setahun lalu,"Perlunya penanbahan toilet, semoga rencana camping ground diatas lebih memadai."
5,2 tahun lalu,"Penduduk yang Ramah, suasana pegunungan alam yang bagus. Jika menginap tersedia penyewaan Tenda Murah Meriah."
5,6 tahun lalu,"Pengelolaan yang sudah mulai baik, bersih, sejuk, cocok untuk menikmati gelap dan terang ditemani kebun teh."
5,7 tahun lalu,"Sejuk + hijau dengan kebun teh, toilet umum bersih"
2,8 tahun lalu,Suasana yg nyaman tidak didukung dg fasilitas yg memadai..pengelolaan sampah buruk..
4,5 tahun lalu,"Tempat sih bagus bgt.. Tapi akses jalannya itu lho.. Batu dan pasir, no aspal"
5,2 tahun lalu,Sudah tidak asing lagi bila Medini merupakan kebun teh yang berada di kaki Gunung Ungaran. Anak muda sekitar Semarang pun sudah banyak yang tahu bahwa Medini juga menyediakan area perkemahan yang cukup memadahi. …
4,4 tahun lalu,"Sejuk,nyaman,damai"
4,setahun lalu,tempatnya enak untuk nongkrong.
5,6 tahun lalu,"Bumi perkemahan yang sangat menyejukkan, tempat ini dikelilingi dengan hamparan kebun teh yang luas, jika beruntung kita bisa mencari spot milkyway kalau cuacanya sedang bagus. Yang sangat disayangkan yaitu akses jalan menuju kesini rusak parah, jeglongan dan batu batu saat memasuki arah kebun teh yang jarak tempuhnya hampir setengah jam. Jadi sedikit menguras tenaga."
3,8 bulan lalu,"sebenarnya view bagus, camp tinggal camp aja, sayang pengelolaan areanya kurang bagus sejak pandemi karna pabrik teh kolaps, mungkin kalo dikelola pecinta alam seperti mawar / perantunan jd lebih tertata areanya .. CMIIW"
5,2 tahun lalu,"Mampir ke toko Pak Min, lanjutin promonya."
4,6 tahun lalu,dinginnnnn
5,6 tahun lalu,"Tempatnya sejuk, di area ini telkomsel sama smartfren masih ada sinyal...... Apalagi pas turun kabut.....  Hawanya dingin² seger......"
4,6 tahun lalu,Tempat nenda tertata rapih... mck bersih.... masjid dekat
5,5 tahun lalu,Kalau malam. City viewnya luar biasa
4,Diedit 6 tahun lalu,"Bumi perkemahan ini sangat cocok untuk kegiatan luar ruangan ataupun kemah. Tempat ini untuk kebutuhan air masih mencukupi dan masuk kategori melimpah. Kegiatan yg membutuhkan air akan teratasi disini. Selain ketersediaan air mudah, juga disediakan WC umum juga pancuran air. Di camp atau area juga disediakan stop kontak untuk kebutuhan listrik, tinggal bilang yang mengelola untuk di alirkan listrik, jadi walaupun kemah di alam bebas urusan listrik akan teratasi. Pemandangan yang bagus langsung menghadap ke Kota Semarang menambah keindahan di malam hari. Suasana dengan gemercik air yang membuat syahdu acara di sini. Tetapi cuaca biasanya daerah ini sering hujan."
3,6 tahun lalu,"Tempatnya kurang bagus. Kotor kurang terawat. Tapi terakhir saya kesini, sedang mulai ada inisiasi pemuda desa untuk pemberdayaan wisata. Semoga kedepannya tempatnga lebih nyaman. Akses jalannya sulit. Batu terjal."
5,6 tahun lalu,"Jalan akses kesini masih bebatuan, agak jelek, semoga segera diperbaiki"
4,4 tahun lalu,"Salah satu bumi perkemahan yang dekat dengan Semarang. Secara administratif sudah masuk ke daerah kabupaten Kendal. Untuk akses ke lokasi ada beberapa jalur. Ketika berangkat bisa lewat pemandian air panas nglimut agar menghindari jalanan yang rusak, lanjut ke kebun teh Medini. Dan ke perkemahan. Apabila mau ke camp atas lagi bisa ke camp area promasan. Tapi jalannya Waw sekali masih batu batuan belum aspal sehingga motor atau kendaraan siap"" harus prima disini nggih Untuk kelengkapan camp. Ada tempat parkir kendaraan yang luas. Sarana ibadah ada masjid di dekat area camp dan sumber air juga lancar. . Pemandangan kita bisa menikmati hijaunya kebun teh. Dan Curug atau air terjun juga yang tersembunyi di balik pesona camp area Medini Selamat camping, wisata nyaman. Jangan lupa untuk senantiasa membersihkan sampah masing-masing . Selamat berpetualang Terima kasih"
5,setahun lalu,Pemandangan bagus sekali dikebun tehnya bagus lagi klo jalan dari medini jalanya diperbaiki dibuat jalan chor
5,7 tahun lalu,"Asik, adem, saya suka"
5,8 tahun lalu,"Udaranya segar, tempatnya indah pemandangann"
5,6 tahun lalu,"Untuk alamnya sgt bagus, namun sulit sinyal di daerah ini"
4,5 tahun lalu,Ok.. pengurus/remaja ramah.. welcome..
5,2 tahun lalu,Adakah nomer yg bisa di hubungi utk boking campinground . Ada kah tempat ngecas dan lampu saat mlm ?
4,2 tahun lalu,perlu di perhatikan kebersihan mulai pengunjung sampai warga dan pedagang ya .... sudah dan banyak di kunjungi dan mulai banyak pedagang mohon ketertipan sampahnya ya semua kita jaga alam kita😊 …
