Rating,Waktu,Teks_Mentah
4,1 hari lalu,"Suasananya sejuk pol,cocok buat rekreasi..tp terakhir kesana masih proses pembangunan, jd agak banyak material di pinggir jalan"
5,2 hari lalu,"Tempatnya sejuk,dingin ada tempat permainan anak jugaa"
5,6 hari lalu,"Tempat luas. Htm cuma 10ribu sepuasnya. Tempat adem nyaman, sepi, sejuk banget, parkiran cukup luas. Toilet cukup bersih air melimpah. Buat di cafe coklatnya enak banget sih, sama ayam pok pok beneran rekomen banget"
1,seminggu lalu,Cafe atau tempat wisata Promo nya Cafe tapi ada tiket masuknya.. Kalau cuma bayar parkir gak ada masalah.
5,seminggu lalu,"Disini bagus banget plisss Mau kemah juga bagus banget rekomendeddd~~ arghhhh~~ Mau ke sini lagi pliss Kemaren sama temen, next mungkin sama ayang kalau ketemu jodohnya hahaha"
4,2 minggu lalu,Tempatnya cocok buat liburan keluarga terkhusus yang punya anak. Monoton tapi asri. Fasilitas cukup memadai. Hampir mirip seperti playing ground. Banyak warung di pinggiran.
5,3 minggu lalu,"Tempatnya lumayan bagus. Awalnya underestimate hawanya ga adem, ternyata nyaman sejuk adem. Byk tempat duduk juga. Sayangnya kmrn pas kesana cuma sebentar krn hujan siangnya.  Masukan: 1. Jalan yg masih tanah, mungkin bisa dikasih bebatuan biar ga licin. 2. Tolong itu pelayanan makanan dan minumannya lama sekali 🥲 pdhl kita juga ngambil sendiri bukan dianterin. Terus, saya sudah antri duluan tapi yg ditanyain yg dateng setelah saya."
5,sebulan lalu,"Lumayan Enak suasanta , cuma masih proses pembangunan dan makanananya tlng lebih berfariasi"
5,sebulan lalu,"Perubahan yang lumayan bagus, Tempat nyaman sejuk dan bersih. Cocok utk acara keluarga. Bumi perkemahan tersedia"
3,sebulan lalu,kemahalan buat wisata di desa
5,sebulan lalu,Enak buat nongkrong santai sambil menghirup udara segar
5,sebulan lalu,"Cocok buat ngadem, HTM 10k parkir motor 2rb"
5,2 bulan lalu,Cocok untuk berkemah.
5,3 bulan lalu,"tempatnya adem, sejuk, cocok untuk piknik keluarga. coba jalan pas ke pinusannya agak berbatu dan fasilitasnya kurang terawat"
5,3 bulan lalu,adem ayem buat nenangin pikiran si hehew trus juga jajan murah meriah juga walaupun di tempat wisata
5,3 bulan lalu,"Tempatnya enak, yang ga enak polusi suaranya. Pada bawa speaker aktif. Ndeso. Kayak ga ada tempat lain aja. Petugas juga diem, ato memang dibolehin sama petugas? Padahal potensial buat dikembangin."
5,4 bulan lalu,𝙽𝚢𝚊𝚖𝚊𝚗 𝚍𝚊𝚗 𝚜𝚎𝚓𝚞𝚔 …
2,5 bulan lalu,aneh g sesuai espektasi
2,5 bulan lalu,"Padahal berbayar juga masuknya per orang 10k dan bayar parkir juga, tapi tidak dipeehatikan mengenai fasilitas infrastruktur nya, seperti jalanan yang berbatu tidak dibenahi dari dulu, banyak sampah berserakan juga, banyak tempat duduk dari kayu yang sudah rusak/ ambruk, gasebo juga reyot. Mohon diperbaiki lagi."
3,6 bulan lalu,"Sekedar berbagi pengalaman kesini malam bada maghrib niatan cuma mo ke warungnya aja. Gk ada niatan mo wisata malam"" apa yg mo d lihat gelap gulita n ternyata ttp byr tiket masuk n parkir n itu gk diksh kartu tiket masuk jg."
5,7 bulan lalu,"wanawisata yg sejuk nan asri diantara banyak pohon pinus yg rindang menjulang. asyik & cocok utk acara bersama klrga/tmn/kolega. lokasinya sedikit masuk (+/- 100m), akses jalannya bagus namun saat masuk agak menekuk. kurangnya (-) parkir mobilnya tidak cukup luas.  HTM saat wiken kami kesana 10k per-orang & parkir mobil 5k. ada camping ground yg luas, area outbond, kedai makanan & kopi. fasilitas: kamar mandi & mushola. utk toilet yg lebih bersih, yg berbayar. 🫰✅ #recommended"
4,7 bulan lalu,Kalau kamu penat dengan kerjaan atau ingin healing dengan suasana yang syahdu. Pinusan Nglimut jawabannya …
5,7 bulan lalu,"Suasana nya enak, adem, makanan enak dan murah"
5,7 bulan lalu,Keren
4,7 bulan lalu,"Kalau kamu penat dengan kerjaan atau ingin healing dengan suasana yang syahdu. Pinusan Nglimut jawabannya  Saran, kami bisa bawa tikar, dan makanan ya, bawa alat bakarnya sekalian, bisa serasa Barbeque di tengah hutan  Atau kalau makanan habis, kamu bisa makan di kedai/warung yang tersedia dengan harga yang terjangkau  Oh ya untuk mencapai kesini, pastikan kondisi mobilmu baik ya, karena tanjakan yang cukup curam  Selamat menikmati"
4,9 bulan lalu,"sejuk , semoga bisa lebih terawat"
5,10 bulan lalu,suasana sangat sejuk dan asrii
3,10 bulan lalu,"Suasana & pemandangan sudah bagus, tapi fasilitasnya banyak yg tidak terawat."
5,10 bulan lalu,View Pinus dan bisa campung juga. Seru buat ajak keluarga dan kawan
4,11 bulan lalu,Jangan lupa beli pecel nya... Enak mbok
5,11 bulan lalu,Bagus.krn ada kenangan saya hahah
4,setahun lalu,"Pas dateng kesini lagi ujan..uademmm pollll… berteduh di gazebo beli mie rebus mantabb harga jg murah, ada mushola, kamar mandi, bisa buat camping juga.."
5,setahun lalu,Dingin banget Silakan berkumpul
3,setahun lalu,"Sementara 3 bintang dl  + suasana alam yang menyenangkan + tersedia mushola (semoga bisa d renov mnjdi lebih besar, kamr mndi samping mushola jg mnjadi lebih bersih lagi) + air melimpah + oke banget buat acara camp, gathering, & kegiatan outdoor, walopun ""nganu"" dibawah ini...  - polusi suara, harusnya dominan suara alam, musik bermacam2 genre saling beradu, sebelah dangdut, sebelahnya pop, sebelahnya musik yg lain lg - berisik, terutama ketika speaker2 mulai saling bersaingan dalam mendominasi ""volume"", semoga ke dpn lebih di atur lagi masalah volume, sukur2 ditiadakan deh, bukankah tema nya wisata alam?  Bukan wisata karaoke kan? - kembali ke alam atau kembali ke ""speaker"", tak ada suara burung, tak ada suara angin, kecuali hanya bisikan kecil saja ketika disandingkan dengan saut2an suara speaker, - yg parah, ketika ada yg jamaah shalat di mushola, tetap full musik dgn volume yg seakan ikut mengiringi jamaah solat biar lebih syahdu.  Semoga ada aturan tertulis mengenai penggunaan speaker dan ada perbaikan masalah POLUSI SUARA, agar lebih sehat untuk telinga yg merindukan sehatnya SUARA ALAM.  #speaker saat camping??? #RespectNatureLowerSpeakerVolume #pengagum pinusan nglimut"
3,setahun lalu,Bagus sih tempatnya Sejuk adem Airnya juga bersih melimpah …
3,setahun lalu,Bagus sih tempatnya Sejuk adem Airnya juga bersih melimpah Kamar mandi bersih  Cuma yang di sayangkan karokean pkai speaker aktif sampek jam 2 pagi  Gak papa sih karokean tp wajarnya sampai jam 10/11 lah  Kita kan kesitu butuh santai refresing Tenang sunyi alam  Yg ada malah gak bisa tidur sampinjam 2 pagi
4,setahun lalu,Kalau mau ngegrill bbq an disini boleh nggk ya? Bawa alat sendiri
5,setahun lalu,Asri sejuk..
5,setahun lalu,Udara pegunungan yang sejuk
5,setahun lalu,👍👍👍👍 …
5,setahun lalu,Bagus Tempatnya Cuman Musholanya tolong di perbesar
5,Diedit setahun lalu,Sejuk
5,setahun lalu,"Tempat yg sesuai utk ngadem, ngopi, refresh kembali setelah beraktifitas sehari hari"
5,setahun lalu,"Tempatnya sejuk sekali, bisa lihat dataran rendah kota semarang dari atas sini. Tempatnya adem, sering ada live musik. cocok buat piknik ala” bareng temen/keluarga"
5,setahun lalu,"Tempat dingin cocok u/ ngopi bareng keluarga.. Wedangan, gorengan, jajanan jg murah."
5,setahun lalu,"Camping ground,sejuk,hijau, sahdu, tiket masuk Sabtu 10 rb , fasilitas ada musolla,kamar mandi ,parkir berbayar kurang begitu luas dan agak nekuk kalau dari bawah, ada gazebo, penjual kopi ,indomi, gorengan dll,tempat sampah kurang banyak,,tapi lumayanlah buat refreshing sejenak dengan biaya yang lumayan murah.."
5,setahun lalu,Mantap alami dan sejuk
4,setahun lalu,Area camp dan sejenak meningmati suasana bisa berkumpul dengan keluarga
5,setahun lalu,"Sejuk hutan pinus asri.. Rehat sejenak dari bisingnya kota.. Anak pun suka main2 kesini.. Letaknya di atas, sejalan dg pemandian air panas gonoharjo.. Mantab lah.."
5,setahun lalu,"Tempat nya nyaman baguss ,tapi buat masukan aja ,untuk tahun depan di kasih hiburan orjenn biar tambah asikk ,dan di kasih pengeras suara ,Nex tem tahun depan bakal kesini LG mksh"
5,Diedit 2 tahun lalu,Sesjuk merilekan jiwa raga .... Sudah ber kali2 tapi tetap ingin kesana ...
4,2 tahun lalu,Asik buat camping
4,2 tahun lalu,"Asyiik, air mengalir terusss, dekat warung, toilet, mushola, ada colokan listrik, wifi berbayar, petugas ramah, persewaan tenda,"
5,Diedit 2 tahun lalu,Tempatnya ramai tapi ga bising
5,2 tahun lalu,Tempat nya enak estetik
5,2 tahun lalu,Terbaik
5,2 tahun lalu,"Dengan tiket ngecamp 15k per orang worth it. Ngecamp pas weekday enak tenang, jangan ambil lokasi agak atas soalnya kalo weekday (mungkin) pas malem lampu aula keatas ngga dinyalain, jadi gelap. Tempatnya …"
5,2 tahun lalu,"Dengan tiket ngecamp 15k per orang worth it. Ngecamp pas weekday enak tenang, jangan ambil lokasi agak atas soalnya kalo weekday (mungkin) pas malem lampu aula keatas ngga dinyalain, jadi gelap. Tempatnya bersih selalu disapu sama petugasnya, air melimpah. Ada warung juga, jadi gausah takut kelaparan, asal bawa duit aja sih, harganya standar warung di tempat wisata.  Kekurangannya sih pipa airnya ada yang bocor kayanya, jadi kalau mau ambil air buat direbus sebaiknya ngambil yang sumber air paling atas biar bersih. Tanahnya bergelombang, tidak terlalu rata, jadi kurang nyaman kalo buat tidur pas camping. Tidak rekomen buat orang yang takut sama monyet, soalnya banyak banget monyetnya, tapi ngga ganggu sih cuman pada lewat, terus duduk duduk doang wkwk"
5,2 tahun lalu,Healing murmer.....
5,2 tahun lalu,"Sering main kesini, cari sarapan sambil bersepeda...adem, masih segar hawanya"
4,2 tahun lalu,"Berharap ketenangan malah kayak kondangan, wkwkwkwk"
5,2 tahun lalu,Sumpah demi ngadem
4,2 tahun lalu,"Nyaman, suasana sejuk. Sewa tenda 75, tiket ngecamp 15. Mushola cukup bersih, ga perlu repot bawa makanan tersedia warung."
5,2 tahun lalu,Sejuk adem cocok untuk camping
5,2 tahun lalu,Tiket murah dengan cuaca sejuk.
5,2 tahun lalu,"Hanya mau kasih saran saja. Sebaiknya tdk ada sound / speaker lagu atau siaran berlebih dilokasi ini. Karena bagi kami yg biasa tinggal di kota atau dipemukiman padat, suara2 bising …"
1,2 tahun lalu,"Camping ma keluarga nyari ktenangan, mlh anak gk bisa tidur, tengah malam jam 12an orang camp lain nyanyi² teriak² pakek speaker aktif pula, payah pengelolanya ngebiarin.. camping ground kyk gni amat dah.."
5,2 tahun lalu,Tempat cocok buat liburan keluarga + ramah kantong
1,2 tahun lalu,"Buat tempat dolan aja, kl buat camping gk recomended apalagi weekend, bareng komunitas berisik gk bs tidur, pengelola lepas tangan, pengennya cuan dong 😄 …"
5,2 tahun lalu,"Camping santai sejuk,fasilitas lengkap"
5,2 tahun lalu,Mantab udara dan tempatnya
5,2 tahun lalu,"Hanya mau kasih saran saja. Sebaiknya tdk ada sound / speaker lagu atau siaran berlebih dilokasi ini. Karena bagi kami yg biasa tinggal di kota atau dipemukiman padat, suara2 bising yg non organic dr alam sudah kerap kita rasakan. Seperti knalpot, gelegar suara musik semua genre, dll. Maka dari itu tempat2 seperti ini adalah tempat kami untuk bergeser dr rutinitas yg memekakkan telinga, tempat refresh karena nuansa sunyi dan organicnya. Jadi serasa kurang nyaman saat kami masih mendengar gelegar suara hingar bingar lagu dangdut ataupun siaran wayang yg volume suaranya terlalu over untuk tempat yg seharusnya lebih tenang. Sekali lagi, bukan apa siarannya yg kurang pas, melainkan volume suaranya yg berlebihan (untuk ukuran tempat yg seharusnya tenang dan selaras)  Terimkasih.  Memeber camp 6-7 Mei 2023"
5,3 tahun lalu,nyaman..mudah dijangkau..
5,3 tahun lalu,Sangat bagus
5,3 tahun lalu,"Sejuk asri nyaman Lebih ditingkatkan fasilitas dan kebersihannya, dan spot fotonya"
5,3 tahun lalu,"Nyaman, asri"
5,3 tahun lalu,Tempat yang sangat adem
3,3 tahun lalu,Akan lebih bagus kalau ada fasilitas untuk Camper Van nya
5,3 tahun lalu,"Udara sejuk, cocok buat ngopi2 dan berkemah.."
