Rating,Waktu,Teks_Mentah
4,7 tahun lalu,ademm😍 …
5,6 tahun lalu,"Sangat sejuk dan segar, cocok untuk hiburan sama keluarga"
3,Diedit 7 tahun lalu,"Nyaman dan sejuk cocok buat menenangkan sejenak pikiran , menikmati sejuknya angin yang segar, suasanya rindang Dan adem"
4,3 tahun lalu,Sekarang sudah semakin bagus
4,7 tahun lalu,"Bersih,  rapi dan nyaman"
5,9 tahun lalu,Penuh kenangan....
3,6 tahun lalu,Hutan ternyata
5,6 tahun lalu,"Tempat luas,nyaman,adem,dan cocok sekali untuk arena skirmish airsoftgun"
4,8 tahun lalu,"sejuk, tetapi untuk mck masih sedikit"
3,8 tahun lalu,Adem .. luas... Tapi mck bisa lebih banyak dan lebih baik harusnya ..
5,8 tahun lalu,Tempat yang bagus untuk berkemah dan melihat pemandangan pegunungan
3,7 tahun lalu,Buper kajar kudus mistis
5,7 tahun lalu,"Tempat ini bagus, udaranya sejuk, deket dengan getuk nyimut, semoga semakin bagus dan tidak dibuat untuk hal-hal yang negatif."
3,6 tahun lalu,Fto itu ketika sore hari
4,6 tahun lalu,"Bumi perkemahan tertua di wilayah kudus,,😅😅 …"
2,7 tahun lalu,Cocok untuk perkemahan tapi perlu penambahan dan perbaikan fasilitas penunjang nya
3,Diedit 7 tahun lalu,Bumi perkemahan yang indah.
5,7 tahun lalu,Hebat
4,4 tahun lalu,As live musicnya sejuk kalo Malam. Bisa camping
4,7 tahun lalu,Direkomendasikan untuk pramuka
3,7 tahun lalu,Asyik dan nyaman buat kemah ato camping
4,5 tahun lalu,Tempatnya masih asri bagus pemandangan nya
4,6 tahun lalu,"Bagusss pake bangetttt, luasss dan mantappp jiwaahh pemandangan nyaa"
5,7 tahun lalu,santai dan rileks
4,4 tahun lalu,Dingin
4,7 tahun lalu,"Biaya tiket masuk 7.500/ orang. Ada parkir motor di seberang jalan. Parkir mobil cukup untuk 5-6 mobil. Tempatnya sejuk , adem. Ada penjual kojek pentol juga makanan ringan. Hanya saja tidak ada tempat sampah disini. Tempat untuk duduk juga kurang banyak."
5,4 tahun lalu,"Pinus Kajar cocok untuk bersantai dengan doi, hawa nya masih segar seperti di surga. Banyak buah pinus yang berjatuhan dari atas, jika kena kepala tidak sakit, yang bikin sakit itu ketika kita kesini sama doi lalu putus :) Overall oke deh, jangan lupa bawa uang secukupnya."
4,8 tahun lalu,Cocok untuk refreshing
5,7 tahun lalu,Pemandangan nya bagus adem
4,5 tahun lalu,Tempatnya sebenarnya cukup rimbun dan sejuk. Terletak di dataran yang cukup tinggi dan tidak terlalu jauh dari kota Kudus. Cukup 15-20 menit menggunakan kendaraan pribadi. Namun semenjak pandemi dan ditutup jarang digunakan dan tidak terawat.
5,4 tahun lalu,"Bener² yg adem banget, sejuk tempatnya, htm juga ga mahal² amat kok puas lah masuk kesini sambil foto² gitu hihi :))"
5,6 tahun lalu,"Keren, bersih."
5,9 tahun lalu,"Bumi perkemahan kajar adalah hutan di kawasan hutan lindung yang berada di kawasan pegunungan Muria kudus, dikelola oleh perhutani dan taman seni Nasional, tempat perkemahan yang dikelilingi ribuan pohon Pinus dan sangat cocok untuk camping ground."
5,7 tahun lalu,"lokasi kemah yang sangat menarik, hawa sejuk sangat terasa. oemandangannya juga indah"
5,4 tahun lalu,Rekomendasi tempat hunting foto
5,6 tahun lalu,Adam
5,7 tahun lalu,Wisata yg sejuk.hawanya dingin.tiket masuk murah.tapi byk nyamuknya
5,5 tahun lalu,Petugas yg ramah. Tempat luas. Cocok buat acara keluarga atau outbond
3,4 tahun lalu,Masi dalam proses pengembangan
5,5 tahun lalu,Adem
5,7 tahun lalu,Tempatnya adem dan sejuk ... Kerenlah pokoknya
3,7 tahun lalu,Buper Kajar
5,7 tahun lalu,"Bagus, bersih dan masih alami"
4,7 tahun lalu,maniss ...
4,6 tahun lalu,"Untuk yang suka dengan wisata alam tempat ini sangat cocok,udara segar khas dataran tinggi dan tempat yg sejuk sangat representatif untuk wisata keluarga, outbound,kemah dan acara lain"
3,7 tahun lalu,"Tempat yang bagus untuk berkemah dan udaranya sejuk. Anda bisa mengunjunginya untuk bermain outbound yang biasanya diadakan saat Anda memesan tempat. Namun, tempat ini kurang aman untuk parkir. Anda perlu membeli tiket untuk mengunjunginya."
2,6 tahun lalu,Lokasi wisata
5,5 tahun lalu,"Salah satu tempat yang menarik di Kota Kudus. Jika malam hari, kita bisa melihat cahaya lampu kota Kudus dari atas."
5,5 tahun lalu,Pohon-pohon besar
5,8 tahun lalu,Mantaps
5,5 tahun lalu,Indah bagus pemandangan baik untuk perkemahan
4,6 tahun lalu,Memiliki area yang luas untuk berkemah. Ada banyak spot foto juga. Memiliki pemandangan yang indah dan menarik
4,4 tahun lalu,"lokasi ada di lereng gunung muria,lumayan gampang diakses karena memang searah menuju kawasan colo/gunung muria …"
5,4 tahun lalu,"Tempatnya asri, nyaman, sejuk, cocok untuk kumpul bersama keluarga, teman, maupun saudara"
2,4 tahun lalu,"Tempatnya bagus, hutan pinus, cmn biaya masuknya cukup mahal, 10 rb perkepala, soale wahananya jg itu2 aja"
5,7 tahun lalu,Sejuk dan penuh inspirasi 😘 …
4,6 tahun lalu,aman tapi kurang terawat
5,4 tahun lalu,Tambah Bagus dan Nyaman Untuk berlama lama di Taman Tersebut.
5,7 tahun lalu,Joooz
3,8 tahun lalu,"Tempat luas, sejuk, rindang. Bersatu dengan taman wisata. Kalau untuk perkemahan dengan jumlah banyak, kamar mandinya kurang mencukupi."
4,4 tahun lalu,Tempat ini ditutup selama pandemi
4,6 tahun lalu,Tempat yg nyaman untuk camping atau survivale
5,4 tahun lalu,Bagus indahseklai
5,6 tahun lalu,Adem
4,4 tahun lalu,"Pemandangan yang bagus,sejuk,bersih dan indah bagi yang suka camping cocok ni buat anak² muda dan gak kalah seru kita bisa nyewa tenda semalam dengan htm 60.000 ya worth it lah apalagi malming seperti ini di suguhi dengan alunan musik dan …"
3,7 tahun lalu,Tolong diperbaiki lagi untuk objek potonya
5,7 tahun lalu,Nyaman dan dingin
5,4 tahun lalu,Indah n asri
3,7 tahun lalu,siip
5,7 tahun lalu,Tempatnya sejuk dan udaranya segar.
5,5 tahun lalu,"Tempat yang sejuk alami , dan banyak pohon pinusnya"
5,6 tahun lalu,"Alami,sejuk"
3,4 tahun lalu,Masih banyak sekali yg harus dilakukan berubahan di area wisata
3,4 tahun lalu,"Gak worth it dengan apa yang kita dapatkan diarea wisata, minim sport foto"
5,5 tahun lalu,Hutan pinus yg rindang bikin suasana makin syahdu.
5,4 tahun lalu,tempatnya aman nyaman cocok untuk keluarga
4,4 tahun lalu,bersih ramah pelayanan baik...
3,7 tahun lalu,"Ada tempat sejuk, air, tempat sholat.."
5,8 tahun lalu,"Bagus tempatnya,.. Adem sejuk"
3,7 tahun lalu,"Tempatnya sangat luas dan rindang banyak pepohonan serta hawanya sejuk, namun kurangnya fasilitas yang memadai seperti kamar mandi yang sedikit dan kurang bersih serta kurangnya tempat sampah yang disebar disudut-sudut buper membuat orang kurang nyaman setelah sampai disana. Perlu peningkatan kembali terutama di fasilitas kamar mandinya agar pengunjung nyaman saat berada disana."
5,8 tahun lalu,Tempat yang sejuk cocok untuk piknik..
4,7 tahun lalu,"Suasananya sejuk dan asri, dan dekat dari tempat makan yang enak"
5,4 tahun lalu,Kerenn bgt tempatnya super sejuk the best deh
5,7 tahun lalu,Sejuk nyaman
3,7 tahun lalu,"Lokasinya cukup luas dan nyaman untuk kegiatan camping. Namun, fasilitas yang ada dilokasi sangat butuh perhatian. Seperti kamar mandinya yang rusak dan kotor, serta minimnya tempat sampah membuat lokasi ini menjadi kotor."
5,7 tahun lalu,Sekarang banyak spot fotonya..baguss
5,7 tahun lalu,Cocok untuk outbound. Recommended.
5,7 tahun lalu,Udara asli pegunungan
5,7 tahun lalu,Hutan pinus
5,7 tahun lalu,Bumi oerkemahan yang asri cicok untuk rekreasi untuk menghilangkan kejenuhan
5,6 tahun lalu,Bagus
5,7 tahun lalu,"Tempat wisata yang sejuk, indah dan menarik setiap orang pasti ingin singgah bersama keluarga atau teman."
4,3 tahun lalu,Adem
