Rating,Waktu,Teks_Mentah
4,2 tahun lalu,"Cocok banget buat yang mau kemah. Lapangannya cukup luas. Ada toilet nya juga. Ada semacam gubuk/pendhapa nya juga, bisa dijadiin basecamp. Banyak gazebo juga yang cocok buat duduk santai sambil ngobrol. Ada tempat duduk selain gazebo juga. Tapi sayang gaada warung, harus keluar area dulu baru ada"
5,setahun lalu,"Sangat recomend buat kaian yang akan melaksanakan kegiatan pramuka seperti hiking, kemah, outbond dan kegiatan lainnya. Akses jalan yang mudah dijangkau dilengkapi dengan joglo yang luas area lapangan juga luas toilet banyak dan cukup terawat. Mari agendakan untuk melaksanakan kegiatan di sini yaa. Desa wisata tinalah, purwoharjo samigaluh kulon progo"
4,2 tahun lalu,"menengok siswa padmanaba ujian perkemahan, datang jam 19an malam jalan sudah sepi banget. sampai dilokasi tempat kemah berbentuk terasiring berundak, ada banyak toilet, ada gazebo, ada pendopo dan ada kucing trus difoto deh"
5,7 bulan lalu,"Fiew nya mengalir sungai yang indah...gaess...nyaman untuk belajar, 5 menit sampai kampus Unisa, Lokasi strategis, keamanan 24 jam, dekat masjid, dekat pos ronda, dekat dengan area pengrajin blangkon khas jogja"
4,2 tahun lalu,"Tempatnya luas, kamar mandi banyak cuma ada beberapa pintu kamar mandi yang udah rusak,ada kantin,ada pendopo,cuma kalau udah mulai siang panas banget di situ"
5,setahun lalu,"Spot kemah gacor. Tempat asik brutal. View menyala indah. Keren abiz 🥶🥶🥶 Saya cinta dewi tinalah!!!  Review asli: Tempat nyaman dan cocok untuk kemah, luas jadi bisa rame. Cocok banget buat kemah sekolah. Fasilitas toilet juga memadai dan layak. Pas kemah disini ga nemu hewan bahaya kayak ular sih. Ada jalur air yang bisa bikin kesandung kalau ga fokus, tapi aman aja :]"
1,2 tahun lalu,Wisata Tinalah terletak di lereng perbukitan Menoreh merupakan tempat rekreasi untuk semua kalangan... dimana terbentang aliran sungai Tinalah namanya ..dipinggiran sungai ada Bumi Perkemahan yg sering dikunjungi anak2 sekolah.. mahasiswa dari mana saja untuk berkemah disitu .. juga masih banyak tempat wisata yg lain masih jangkauan satu kecamatan seperti wisata Suroloyo... Kebun Teh...Gua Sriti... Wisata Kleco... dan masih banyak lagi. Yang pasti pemandangan alamnya sangat menarik... nikmati suasananya tatkala di pagi hari...atau sore hari saat matahari mau tenggelam.. hasil jepreetannya woooww  ...sambil ngopi sore...!!! Mantab kan ?! By...by...🖐
5,6 bulan lalu,Tempatnya bagus dan adem. Sarana prasaranya baik
5,2 tahun lalu,Tempat perkemahan yang representatif cocok untuk melatih mental anak muda dalam pembentukan karakter anak muda
4,7 bulan lalu,Cocok untuk kemah.
5,setahun lalu,"tepatnya bersih, kamar mandi nya bersih"
5,2 tahun lalu,bagus
5,3 tahun lalu,bagus
5,setahun lalu,Tempatnya dingin..
