Rating,Waktu,Teks_Mentah
5,2 tahun lalu,"Tempatnya bagus akses mudah,bis masuk. Dekat dengan perkampungan.banyak juga yang jualan,jd tidak perlu khawatir apa bila biah hati kita berkemah di kedung rejo. Bahkan penjualnya ada yang buka sampai malam. Semoga dengan adanya bumi perkemahan di sini berimbas positif bagi warga sekitar. Toilet dan airnya bersih."
5,3 tahun lalu,"Bumi perkemahan kedungrejo merupakan salah satu alternatif tempat untuk camping yang direkomendasikan,lokasinya mudah dijangkau dengan kendaraan roda 4 maupun roda dua.Tersedia lapangan yang cukup luas,dan terdapat fasilitas toilet dan kamar mandi yg cukup banyak juga.Lokasinya juga strategis karena dekat dengan aliran sungai dan juga di sekitar bumi perkemahan juga bisa kita temui area hutan maupun bukit yang bisa jadi alternatif utk outbond.Jarak dari bandara YIA tidak terlalu jauh,untuk menuju ke lokasi bisa dengan bantuan google maps ketik aja bumi perkemahan kedung rejo.Selamat mencoba dan temukan sensasi camping di bumi perkemahan kedungrejo."
4,3 tahun lalu,"bupernya luass kamar mandi juga banyak tapi kalau mau sholat ke mushola harus naik dulu sekitar ±100 meter, sebenarnya mudah di akses tapi jalannya masih minim penerangan di bagian hutannya"
5,7 bulan lalu,"Alhamdulillah,sekolah anak saya kemah disini semua nya lancar😍 …"
3,2 tahun lalu,"Tidak terlalu jauh dr jln raya utama di wilayah pengasih, wates, kulon progo. Nyaman dan fasilitas cukup memadai untuk yg mau berkemah baik acara sekolah, keluarga atau lainnya"
4,2 tahun lalu,Tempat aman nyaman kondosif jauh dari keramaian masjid dekat hny jalan ke lokasi cukup menantang tetapi asyik
5,6 tahun lalu,"Tempat kemah recommended, fasilitas lengkap, foto2 di bawah adalah ketika anak2 sdit anak sholeh sedayu camping"
4,6 bulan lalu,sejuk asri lingkungan yg alami air mengalir di sepanjang lapangan
5,6 bulan lalu,"Lengkap, ramah , luas, oke pokonya ... Medannya pling disukai karna bebas pilih"
4,7 bulan lalu,Lokasi bagus. Sumber air aman. Pemandangan dikelilingi pegunungan yang indah. Hijau.
5,6 tahun lalu,"Fasilitas banyak... Ada pendopo, lapangan, kolam ikan, kamar Mandi, Dan lain-lain..."
