Rating,Waktu,Teks_Mentah
4,10 bulan lalu,"Dua kali ke sini dan lumayan asik di pake untuk main ataupun camping, pemandangannya juga masih asri, tapi di sini ramai, karena menjadi tempat wisata. Cocok banget untuk kalian yang mau liburan atau sekedar main sama keluarga dan juga teman. Banyak warung di sini, atau kalian mau masak masak juga bisa (ngegrill). Untuk warung di sini juga terbilang murah, penjaganya juga ramah-ramah.  Untuk kalian yang mau camping juga asik banget di sini, tapi pastiin tenda kalian aman, soalnya kalo hujan angin pantainya kenceng banget. Untuk biaya campingnya sendiri murah, perorang cukup bayar 5.000 (belum termasuk kamar mandi). Di sini untuk colokan listrik juga banyak. Kalian bisa sambungin colokan listrik ke lampu-lampu yang di pake untuk hiasan pohon, sejauh ini saya camping di sana aman.  Di sini, kalian juga bisa naik perahu atau main kano.  Jangan lupa bawa uang tunai, karna beberapa tempat di sini masih belum bisa qris. Biaya masuk pntainya juga kadang mereka gak menerima qris karna jaringannya eror.  Untuk kalian yang camping gak mau ribet, di sini enak banget. Pemandangannya bagus, walaupun agak berisik karna dekat sekali dengan bandara, jadi setiap kali ada pesawat lumayan keras suaranya. Tapi kalo kalian suka sama pemandangan pesawat ini akan menjadi nilai tambahnya."
5,Diedit 10 bulan lalu,"Lokasinya bersih jadi nyaman Kesini beberapa kali camping bersama keluarga Sebelum masuk lokasi ada tiket masuk 10.000/ orang. Untuk campingnya  bisa bawa sendiri tenda/ sewa langsung dilokasi (bebas pilih lokasi asal kosong ya wkwkwk) Apabila sewa kisaran harga Rp 90.000  (tenda, jasa pasang dan matras 4) mungkin harga bisa berubah, kemudian apabila malam ada yg tarik iuran kamar mandi + sewa lokasi  10.000/ orang (beberapa kali camp masih sama harganya) Fasilitas listrik, air bersih, kamar mandi, mushola cukup dekat Kamar mandi ada banyak dan termasuk bersih, hanya kadang bau Pesing karena penggunanya sangat banyak (wisatawan/ yang camp)  Warung makan pun termasuk banyak dilokasi jadi jangan khawatir kelaparan , yang penting bawa uang buat jajan (harganya juga standar jajanan tempat wisata)  Dilokasi juga ada persewaan kapal untuk wisata  Catatan untuk pengelola campnya mungkin ada batasan jam malam unt bermusik, sehingga semua nyaman. Ow ya pengelola lokasi mantap selalu mendengar masukan dari wisatawan...sehingga makin berkembang baik."
5,6 bulan lalu,Tempat yang nyaman untuk bersantai dan melepaskan penat dengan menikmati camping di alam yang indah.
4,setahun lalu,"Tempat sangat nyaman. Perorang membayar 5000 rupiah dan parkir mobil 10.000 rupiah. Sudah dengan listrik, namun listrik hanya bisa diakses ketika sore sampai besok pagi. Kekurangan 1 sih, wc yang membayar lagi 1 orang 5000 dan tempatnta dekat pintu masuk. Adapun wc yang lain dimiliki bukan dari penyedia harus bayar lagi. Jadi minim hanya wc saja. Jika camp di pulau akses wc agak sulit hehe. Tapi tempat enak, bersih dan sejuk juga."
4,setahun lalu,"Semacam kaya waduk atau sungai atau muara kurang tau juga cuma kalau dipikir² mending ke pantai Glagahnya sekalian sih cocoknya disini buat ngecamp aja atau naik kapal mungkin , disisi selatan bandara NYIA persis jadi sering bersliweran pesawat untuk akses jalan menuju lokasi cukup mudah, toilet memadai, mushola jg ada pedagang jg ramah harga masuk akal"
5,3 minggu lalu,"Suasana nyaman, booking seminggu sebelum karena takut full pas weekend, datang2 tenda sudah siap. Nyore dsni cocok banget, santai.."
5,2 tahun lalu,"Tepat berada dipinggir laguna barat pantai glagah disini menyajikan tempat camping ground dengan keindahan hamparan laguna dan pepohonan cemara yang rindang kita dapat menikmati pemandangan sunset dari sini. Nampak guratan merah jingga membentang menghias cakrawala seakan waktu begitu lambat menyaksikan kepergian sang mentari yang akan digantikan oleh rembulan dan kemudian bentangan cakrawala berganti berhias dengan taburan bintang-bintang. Tempatnya asoy syahdu dengan fasilitas lengkap ada mushola, tempat parkir yang luas dan juga ada toilet serta tidak lupa ada rumah makan seafood disamping tempat ini. Mantap 👍"
1,6 bulan lalu,"Niat camping nilai plusnya disini tu mancing, ehh ada org gk punya attitude se enak nya njaring nek ngarepan wong mancing, 👎 …"
5,setahun lalu,Camping Ground Laguna Cocok untuk camping disini Lokasi ya ditengah laguna Kondisinya cukup lah rekomended Tapi anginnya disini cukup kencang apalagi semakin sore dan malam Buat beberapa rombongan cukup lah rekomended bisa buat beberapa tenda
5,setahun lalu,"Tempat rekomendasi buat ⛺camping bareng keluarga ataupun teman.. Ada toilet dan jajanan.. Stop kontak bjat charger juga ada..  HTM per orang 5k, Parkir mobil 10k"
