Rating,Waktu,Teks_Mentah
5,"2 minggu lalu di 
Google","Glamping yg lengkap banget fasilitasnya... Semua staf jg ramah dan pelayanan bener2 gercep dan memuaskan... Kolam renang hangat dan bersih.... Tersedia coffe shop jadi berenang sambil ngopi bisa bget.... Ada fasilitas padel nya jg yg keren bget....bersih dan raket padelnya masih baru.... Kebetulan saya cek in di hari minggu dan cek out di senin siang jadi berasa privat glamping. Dan privat pool.... Kasur dan bantal guling empuk.. Suasananya tenang cocok bget buat familly time..maupun bulan madu.... Jalanan menuju glmping jg halus dan ada petugas yg ngarahin ke situ...jadi bila ada papasan dari mobil lain ada petugas. Yg ngasih info.... Kamar mandi bersih,sarapan nasgornya jg enak.... Tapi saya yg biasa orang solo minum teh racikan solo beda bget sama teh di daerah sini yg cenderung agak bening dan sedikit sepet....tapi harga masih tergolong murah untuk es teh dan hrga kopi..... Terimakasih glamoing menoreh liburan klg saya sgt berkesan lain waktu mungkin bisa kesini lagi...... Klo kesini wajib jg ke tumpeng menoreh atau tumpeng ayu bisa diantar satel seharga 150 sdh termasuk tiket masuk dan harga voucer makanan potongan 15k.... Pemandanganya cakep parah.....meski agak kecewa kesana dapetnya kabut pdhl sdh dibelain jam 5 pagi"
5,"sebulan lalu di 
Google","Pelayanan staf sangat ramah, responsif, dan membantu. Proses check-in cepat, dan staf sigap membantu segala kebutuhan tamu Keramahan mereka benar-benar menciptakan suasana menginap yang nyaman dan berkesan.  Fasilitasnya lengkap dan unik. Tenda glamping nyaman dengan kasur dan selimut yang hangat, serta kamar mandi bersih (beberapa dengan air panas). Daya tarik utamanya adalah Kolam Pantai yang ikonik, kolam renang buatan dengan desain menyerupai laut. Dan ada juga kolam air panasnya.Ada caffenya juga misal mau berendam sambil ngopi. Tersedia juga area BBQ, lapangan PADEL untuk yang hobi bermain PADEL, dan paket tur ke objek wisata terdekat. Sangat direkomendasikan untuk staycation nyaman di tengah alam!"
5,"sebulan lalu di 
Google","Glamping menoreh akses jalan aman, parkiran luas untuk mobil. unit glamping banyak dan terdiri dari beberapa tipe. Ada lapangan padel dan kolam renang, yang hanya dibuka untuk pengunjung glamping. Restauran bisa dipesan dari kamar maupun dari kolam renang. Makanan minuman worth it"
5,"4 bulan lalu di 
Google",Salah satu lokasi glamping di menoreh. Menawarkan suasana glamping yg tenang. Jauh dari pusat kota. Ada kolam renang air hangat. Ada heater air panas di kamar mandi.  Jalur tidak begitu extrem. Paling aman lewat perempatan dekso lalu ambil arah pasar plono. Mobil & motor matic masih aman. Sinyal hp masih aman. Ada free wifi juga. Sarapan nya enak Salah satu opsi jika mau ke tumpeng menoreh bisa nginap disini dulu. Pelayanannya sangat ramah. Credit to Pak Gito & Mas Femas. Terimakasih banyak. Saya akan kembali lagi kesini. Salam hangat.
1,"2 bulan lalu di 
Google","(Translated by Google) Just come here once, it's so noisy you can't sleep, because there's a group playing loud music until midnight, maybe you should enforce a curfew so other guests can rest, I also feel sorry for the local residents who will definitely be disturbed by the loud music until midnight  (Original) cukup sekali aja kesini, ga bisa mnikmati ketenangan berisik banget ga bisa tidur, krn ada rombongan yg play musik keras sampe tengah malam,mbok yo BERLAKUKAN JAM MALAM biar tamu lain bisa istirahat, itu deket kmpung jg kasihan warga sekitar yg psti keganggu sm musik"" keras samp tnggh malm,tenda berjamur,dgn hrga sgtu msih bnyk opsi lbh bgus lain di jogja"
1,"sebulan lalu di 
Google","ga lagi” deh, pelayanannya kureng ga gercep dikasi walkie talkie ga guna ga prnh direspon, pesen minum/makan lama,kamar banyak lintah minta hndsaplat atau betadine gara” digigit lintah pas lagi tiduran ga dibales giliran pesen makan d bales, ga ramah, cuma menjalankan sop tok, gada kaca juga, kolam kotor, cuma padle yg approve karna masnya ramah dan mau ngajarin selebih itu engga deh"
4,"4 bulan lalu di 
Google","-Kamar lumayan nyaman, kasurnya empuk selimutnya juga tebel. Ada meja sama cerminnya tp kemarin waktu kesana ga ada di tendanya.  -Kalau untuk tendanya Banyak yg berjamur, kaya gimana gtu diliatnya kurang nyaman aja.  -Ada air hangatnya, kalau air hangatnya ga bisa mungkin gasnya blm dipasang 😂  -pelayanan bagus, kemarin waktu mau mandi air hangatnya ga bisa, ternyata gasnya blm dipasang, bilang sama penjaganya langsung dipasang sat set 👍  -tempatnya nyaman. Ada kolam renangnya, Air hangat dan air dingin. Kalau malam hening, kecuali kalau ada yg adain acara ya!  -jalan menuju glampingnya lumayan ngeri hehe"
5,"5 bulan lalu di 
Google","Suasana tenang, sejuk, udaranya enak Ada kola renang air dingin yg seger, sebelahnya kolam air hangat kalo kedinginan langsung bisa pindah 😄 Akses jalan lumayan nanjak tp masih aman asal mobil sehat, Chat admin aja nanti dipandu maps nya via wa. Kekurangan tendanya sudah mulai kotor perlu pembersihan, kamar mandi jg."
3,"4 bulan lalu di 
Google","Adem, kolamnya ada air hangatnya suka bgttt. Tapi minusnya ditenda ada ulet jd ga bisa nyenyak tidurnya jd parnoan wkwk udah nemu 3 ulet aja kmrn,"
5,"6 bulan lalu di 
Google","Tempat agak tersembunyi. Akses mudah. Pelayanan baik, cepat dan helpful. Cuaca malam dingin, disarankan membawa selimut tambahan sendiri. Tidak disarankan utk lansia atau ibu hamil krn lokasi naik turun tangga. Kamar mandi lumayan bersih, ada heater."
