Rating,Waktu,Teks_Mentah
5,Diedit 10 bulan lalu,"Tempatnya syahdu, adem, hening, jauh dr pemukiman , klo malam hanya terdengar suara gemricik air"
5,4 tahun lalu,"seru,bikin deg2kan juga ,mas danang yang punya tempat baik banget jg ramah...ga bikin kapok pokoknya,keren pokoknya buat kalian yang cinta dg alam"
5,5 tahun lalu,nyaman banget tempatnya..bikin fres semangat..ramah bngt mas danang care sbg tuan rmh...ayo teman2 hrs datang pecinta2 alam...gas polll.
5,4 tahun lalu,"Memiliki nuansa alam yang APIK,,,terimakasih mas danang sudah di izinkan mampir🙏 …"
5,5 tahun lalu,Luar Biasa..... Sejuk Nyaman... Mandi di kali....
5,2 bulan lalu,tempat bagus u tuk rekan2 komunitass
5,4 tahun lalu,"Ngopi bareng pinggir kali, sambil dolanan banyu....mantafff..."
5,5 tahun lalu,"tempatnya adem,seger,cocok buat foto² dan nyaman"
5,setahun lalu,Seru buat fun offroad & family camp
5,3 tahun lalu,Kopdar with view.. seru banget nyebrang sungai naik 4x4 dan camping masak bbq bareng temen2..
5,5 tahun lalu,"Tempatnya bagus banget, recommended banget deh pokoknya"
5,2 tahun lalu,"asyik tempatnya, bikin acara dangdutan tambah syahdu, jauh dari pemukiman jadi ndak mengganggu, hanya akses jalan masuk yg agak susah.. next bisa dibuatkan akses jalan yang memadai.."
5,Diedit 3 tahun lalu,Camping ground yg mengasyikan langsung dekat sungai yg airnya bening dan nyaman buat belajar
5,4 tahun lalu,"Keren, unik, ngangenin, bikin ketagihan siapa aja yg datang, recommended banget u/yg pengen relaksasi dengan merasakan sensasi menyatu dengan alam .. fully support u/CCF success teruussss ❤❤❤"
5,4 tahun lalu,"Menyatu dengan alam... semilir angin, gemericik air, suara gasir, kicauan burung... bikin sukses acara ngenggar2 penggalih 😆😆😆 ketika senja datang dan api unggun mulai dinyalakan.... membuat suasana makin syahdu.... sukses terus kakak.... Tuhan Memberkati 😘😘🤗🤗 …"
5,4 tahun lalu,👍 tempatnya asyik... …
5,Diedit 2 tahun lalu,Keren 👍🏻 …
5,5 tahun lalu,Bagus banget tempatnya
5,4 tahun lalu,"keren sekali mas Dhanang, kemaren ke situ pas ultah YAJ. kalo sekedar main ajak keluarga boleh gak mas?. Gus Patub"
5,4 tahun lalu,"Suasananya natural enak buat self healing , sangat menyenangkan, yg empunya juga very2 ramah pokoknya da best 👍 …"
5,4 tahun lalu,Seruuuu banget.....wisata murah meriah 😍💃💃 Thanks om Danang kopi manisnya...moga makin sukses . …
5,4 tahun lalu,Sangat pas untuk bersantai.
3,10 bulan lalu,"Gasabar besok buat kesana, dan bakal Main air dsanaaa!!!!!!"
5,4 tahun lalu,"Lumayan seger, Deket rumah"
2,setahun lalu,"Akses masuknya membingungkan, kurang safety jika membawa anak2.."
3,4 tahun lalu,"Cukup menantang jalan masuknya. Tp kl pakai mobil 4x4, motor trail seru masuk kesini .."
5,3 tahun lalu,"Pelayanan ramah, tempat menyenangkan, ada sungai, angsa, pohon rindang. Kayu bakar juga sudah disiapkan"
5,4 tahun lalu,Mengasyikan dan Syahdu tempat dan suasananya....
5,3 tahun lalu,Tempat bagus deket rumah untuk camping..
5,Diedit setahun lalu,Josssgandhoosszz Cocok buat melarikan diri dari keruwetan jogja padahal masih di jogja juga
5,3 tahun lalu,"klo cari tempat yg bisa buat jalan-jalan di hutan, susur sungai dan offroad maka disini tempat yg cocok, bisa api unggun jg bisa bawa doggy j"
5,3 tahun lalu,Menyenangkan bersama rekan rekan sebotol
5,4 tahun lalu,Tempat aassyyiikk syahdu suara gemericik air  makin nambah asoy geboy.... Pokoke harus kesini....
5,2 tahun lalu,Hari latihan Selasa sore jam 19:22 Jumat sore jam 19:22
5,Diedit 3 tahun lalu,Kalo kangen suasana dan ingin menyatu dengan alam. Camping kuy diBiosfer dijamin so cool banget.. 😎✌ …
5,3 tahun lalu,Enak nyaman asri sejuk... Pokok e pesona Indonesia ada di sini
5,3 tahun lalu,"Tempat nyaman untuk belajar konservasi, off road dan  kumpul keluarga"
5,4 tahun lalu,"Kereeen poll, meskipun nek mau masuk nyebrang kali sing buening, nek ngga pakai 4x4"
5,5 tahun lalu,Tempat nya enak sejuk n nyaman buat nyantai
5,5 tahun lalu,Tempatnya seger...
5,2 tahun lalu,Keren Tempatnya. Nuansa Alam yg sejuk
5,setahun lalu,Enak makanannya pelayanannya ramag
5,setahun lalu,Tempat yg enak utk piknik
5,2 tahun lalu,👍🔥👍 …
5,3 tahun lalu,"Temapatnya bagus, luas, dan wisata alamnya keren."
5,4 tahun lalu,Tempatnya sangat bagus...
5,setahun lalu,Tempatnya bagus
5,4 tahun lalu,TQ🙏mas Danang atas suguhan kopii hitam nya👍👍 …
5,3 tahun lalu,"Boleh kah truck towing ngecam disini,trims"
