Rating,Waktu,Teks_Mentah
5,2 minggu lalu,"Kesini untuk kegiatan penanaman pohon dan bapaknya yang punya tempat ngefasilitasin banget, buat kemah juga cocok. Areanya luas, kamar mandi banyak. Tempat teduh dan sejuk, banyak pohon yang besar."
4,7 tahun lalu,Tempat yang asik buat melakukan kegiatan outdoor untuk berkelompok dan dapat menampung orang banyak tapi akses jalan yang dilalui menuju tempatnya belum terlalu baik karena bebatuan yang lumayan cukup menyulitkan.
5,9 bulan lalu,Camp ground luas dan suasa malam tenang. toilet juga tersedia banyak
4,Diedit 6 tahun lalu,Nilai plusnya banyak sebenarnya....dekat dengan kaliurang...wisata adventure jeep.. Usul..dan biar pemakai nyaman..jadi menyampaikan pada orang lain..artinya semakin banyak yang menggunakan jasa cleresede : fasilitas kamar mandi/toilet lebih dilayakkan lagi..n jumlahnya ditambah..jln masuk lmyn bergelombang. Arena outbond..permainan dilengkapi. Kalau untuk personil sudah ramah2. Terimakasih..
5,10 bulan lalu,"Kami bermain ATV bersama keluarga pada saat libur nasional, Pak Sriyono sigap dalam merespon pertanyaan kami.  Harga bersaing dan unit yg tersedia juga proper,layak pakai dan mudah digunakan, sehingga tidak ada kendala saat penggunaan.  Sebelumya pernah main ATV di provider lainnya, namun unitnya kurang layak dipakai.  Manajemen juga amanah, ketika HP istri yang sempat terjatuh dan keesokan paginya kami WA ke pak Sriyono untuk dibantu cek dan mencarikan.  Alhamdulillah HP kami ditemukan dan disimpan oleh pihak pengelola. Ternyata sejak ditemukan, HP selain disimpan tapi juga di bantu charge.  Terima kasih pak Sriyono, mba Riska dan juga orang baik yang menemukan HP istri.  Semoga kebaikan dan keberkahan untuk kalian semuanya.  Recommended provider ATV @merapi Jogja."
5,8 tahun lalu,Tempatnya oke deket tempat wisata the lost castle
1,setahun lalu,"Sebenernya tempatnya bagus, dulu masih asri sekali tapi sayang.. Keindahan saat kemah 8th lalu di warnai suasana mencekam malam hari 2hari berturut² diganggu penunggu sana hanya karna ulah seorang siswa dan yang kena imbasnya orang lain bahkan masih diikuti sampai saat ini"
5,setahun lalu,"Lumayan jauh bngittt dari kota, dari Sleman, tp worth it sejuk parah, cozy, ada tenda Doom buat camping"" gemoy"
5,setahun lalu,Tepat kemah yg pemandangannya langsung gunung Merapi tiket masuk 15rb(bisa ditukar minuman) sedang untuk sewa kapling kemah belum tahu dan alat kemping disarankan bawa atau sewa
4,6 tahun lalu,"Keren, dengan fasilitas toilet yg memadai dan lingkungan yg asri.."
5,4 bulan lalu,Bagus. Sangat Rekomendasi👍🏼 …
