Rating,Waktu,Teks_Mentah
5,2 tahun lalu,Atmosfer yang baik
5,2 tahun lalu,"Keren sih tempatnya, 14-15 agustus 2023 ngecamp disini. Dateng kesini lebih awal deh soalnya weekdays aja lumayan rame yg ngecamp, dateng lebih awal biar bisa cari tempat yg enak. Pojok paling atas deket tempat start sepeda downhill tuh seru buat camp, viewnya paling dapet kalo malem liat lampu2 kota jogja, pagi sore merapi kliatan jelas bgt, kbetulan pas lgi erupsi kecil kliatan batu2 longsor dari puncak juga suaranya lumayan bikin waspada. Kalo malem dingin suhu bisa dikisaran 14⁰, api unggun cukup bantu buat ngangetin badan. Cuma kebersihan agak kurang, kyaknya pengelola juga kurang personil untuk jaga kebersihan dan juga masalahnya pengunjungnya pada jorok, sampah gak dibuang di tempatnya, apalagi toilet sampah tisu disumpel2 di lobang ventilasi toilet. Parkir luas mobil motor muat banyak. Ngecamp disini perorang 15k murah meriah. Awal masuk di loket untuk camping gak ada yg jaga, petugas dateng justru malem kelokasi tenda2 pengunjung buat retribusi.  Air melimpah toilet tersedia sekitar 8 bilik. Yg ganggu itu sih ada anjing berkeliaran walau gak nyerang tapi yg takut anjing jadi risih sama tetangga tetangga yg ngecamp sampe jam 1 malem masih pada ketawa2 dengan tingkat desibel cukup membahana, ganggu yg mau istirahat."
5,6 bulan lalu,Meja
4,setahun lalu,"area parkir luas ya.. fasilitas ada pendopo dan toilet. karna gak mau ribet jadi sewa tenda, booking h-2 dan bisa mnentukan mau di sebelah mana. persewaan jg cukup lengkap. tiket 15rb/org. malam nya terlihat jelas saat merapi lg sedikit erupsi. paginya merapi sangat cerah. mantap."
5,2 bulan lalu,Seru adem bisa pasamg tenda sendiri atau sewa. Seru pokoknya
5,3 bulan lalu,"saya sangat merekomendasikan tempat ini, bisa untuk tempat piknik keluarga atau bermalam di camp ground. fasilitas sangat lengkap seperti kamar mandi yang tidak jauh dari area camp, mushola, colokan listrik di area camp dan juga ada …"
4,setahun lalu,"SERU BANGET ASLI CAMP DISINIII  minus kamar mandi yang agak kotor aja dan sempet mati air pas pagi, tapi seru banget disini mau kesana lagii!!! aku saranin kalo kalian kesini bawa selimut hehe dingin binggo!! banyak warung dibawah jadi aman!!"
5,4 bulan lalu,"View merapi pagi indah, fasilitas lengkap"
4,5 tahun lalu,Tempat terdekat untuk bisa menikmati gunung merapi. Bisa juga untuk camping. Jalan lumayan ribet jika tidak teliti bisa nyasar
5,setahun lalu,"Camping di kaki gunung merapi, udaranya sejuk. Lokasinya lumayan luas. Bisa sewa tenda dan peralatan lain. Bisa juga beli kayu untuk api unggun di basecamp. Ada jalur tracking bagi yg mau tracking santai. Di bawah juga banyak warung kalo pagi cari sarapan. Minusnya toiletnya kurang terawat, pembuangan airnya banyak yg mampet sehingga air menggenang di lantai."
5,setahun lalu,Pemandangan keren Sore sunset Malem citylight Pagi foto dibalik gunung merapi  Ke Jogja gak ngecamp disini Yang bener aja rugi dong
5,5 tahun lalu,"Tempat camping ternyaman, disini udara nya sejuk, malam hari pun juga indah pemandangan nya"
5,setahun lalu,"Banyak tempat untuk berkemah. Kami datang di waktu yang salah karena listrik padam akibat badai petir. Ada biaya masuk, tetapi Anda bisa memilih tempat berkemah di mana pun. Mereka juga menawarkan tenda jika Anda tidak membawa tenda sendiri, tentu saja dengan biaya tambahan. Kekurangan tempat ini adalah sampah yang berserakan di sekitar area perkemahan."
5,setahun lalu,"Dah lah camping disini mantap, pengelola nya ramah2. Sengaja camping malam sabtu biar ga rame2 bgt. Tpi paginya merapi pas lagi erupsi jdi view nya ketutup asap 😭, …"
5,2 tahun lalu,"Bagus untuk camping, cuma sayang pengunjung krg menjaga kebersihan toilet,sama tempat sholat perlu ditingkatkan 👍👍"
5,2 tahun lalu,View nya juara untuk melihat Merapi dari dekat
4,10 bulan lalu,Mohon kamar mansdi dan Wc di perbanyak Juga colokan listriknya Klo lokasi dan pemandangan is ok banget
5,setahun lalu,Pemandangan Terbaik
4,setahun lalu,"HTM terjangkau,untuk kesini pastikan kendaraan anda sehat.spot foto terbaik di bawah jam 9 pagi"
