Rating,Waktu,Teks_Mentah
5,Diedit sebulan lalu,"Tempat camping rekomended di kawasan wisata merapi, tempat bagus, toilet bersih, musholla terawat, air jernih, penerangan & listrik untuk keperluan kemping ada, warung ada cuma sampai jam 10 malam weekday (gak tau kalo weekend), penjaga ramah, jarak 500 meter di bawah bunker Merapi.  Kalo siang kedenger suara truk & alat berat tambang pasir, malemnya sunyi sekali. Sesekali ada kawanan monyet liar lumayan banyak, gak ganggu dan jangan dikasih makan ya.  Pas camping disini pas lagi erupsi, lumayan tegang tapi seneng jadi pengalaman baru liat gunung erupsi dari deket.  Best view & Park di blok bawah, teduh, gak terlalu berisik truk tambang pasir & gak keganggu sama pengunjung non camping.  Rincian harga Tiket parkir mobil di camping ground Rp.50.000/per hari (parkir bawah tarif parkir biasa) Tiket camping Rp.15.000/orang/hari Kayu bakar Rp.30.000/ikat Cemilan di warung (gorengan) Rp.12.000 an minuman Rp.5rb an"
5,sebulan lalu,"Luas : sangat luas untuk parkiran dan camping groundnya Kamar mandi : bersih Air : ada dan cukup segar Mushola : cukup memadai Viewnya luas, kalo cuaca cerah gunung merapi terlihat bgs banget, tempat yg cocok untuk melihat sunrise. Sekitar area camp banyak burung. Ada colokan listrik. Kalo agak siang sudah mulai berisik, karena dekat area tambang kali Gendol, tp gapapa."
5,3 minggu lalu,"View merapi sangat dekat, camping ground nyaman, ad toilet, mushola, dan warung  Menu warung mulai dr kopi sampai makanan berat, harga makanan terjangkau  Untuk camping ground per orang kena charge 15rb, mobil 50rb  Dingin teduh dan cozy tempatnya  Check in camping ground jam 2 siang"
5,4 bulan lalu,"Sebenernya udah dari Juni ke sini, cuma baru inget buat review 😅✌🏼 Tempatnya kece, cuma pas ke sini malah kabut, Gunung Merapinya nggak kelihatan 🙃 Nongkrong di sini pagi-pagi syahdu banget, sarapan sambil denger suara alam. Akses ke sini lumayan muter-muter, mungkin karena percaya banget sama Gmaps, wkwkwk Nanjak ya bund, jadi siapin kendaraannya biar kuat nanjaknya. Anak-anak kalau diajak ke sini bakalan happy sih, tempatnya luas tapi harus tetep hati-hati ya karena pinggirnya jurang. Bisa camping juga di sini. Parkir luas, ada mushola dan toilet. Ada warungnya juga. Dingin-dingin makan mie panas, beuuhh, nikmat mana lagi yang kau dustakan. Gas ngeng 🛵 ajak keluarga atau temen nongkrong di sini 👍🏼"
5,2 bulan lalu,"Nikmatinya camp di hari kerja itu vibesnya berasa, untungnya ada 1 tenda juga yg camp jadi gak iseng kalau sendirian 😁 Suhu malam aman di 18-17°, enaknya adalah bisa melihat merapi mengeluarkan lahar berwarna merah, kita lihat saat terbangun jam 04.00, masha Allah merapi sungguh indah."
4,Diedit seminggu lalu,"Tempatnya asik utk yg suka alam, ada camping ground nya jg. Tp akan lbh nyaman lg jika restonya menyediakan makanan berat jg krn perjalanan ke sini lumayan jauh, jd ketika sampai pengunjung berharap bs makan kenyang. Dan kl bs jg disediakan tempat yg beratap, jd jika hujan akan lbh aman utk pengunjung berteduh."
5,sebulan lalu,"aksesnya agak jelek pas mau mendekati tempatnya, lumayan bertekstur jalannya, ada lubang genangan air juga harus hati”. tapi demi view merapi sedeket ini gen z mah nekat trobos weh lah😭🫰🏻 …"
5,seminggu lalu,"Tempat dengan view cantik gerbang merapi,weekend ramai,cocok buat yang hobi camping,fasilitas lengkap"
4,3 bulan lalu,View bagus menghadap merapi. Fasilitas tersedia. Sayang camping ground nya masih tanah dan berbatu sehingga kurang nyaman didalam tenda. Serta berdebu saat angin
5,4 bulan lalu,"Tempatnya bagus banget untuk camping ground! View Gunung Merapi-nya terbaik, apalagi saat pagi hari, bisa lihat sunrise yang sangat indah. Lokasinya juga strategis, tidak terlalu jauh dari kota Jogja, jadi mudah dijangkau. Yang paling saya suka, di sini kita bisa camping tanpa ribet karena semua peralatan sudah lengkap dan tersedia, kita tinggal datang bawa badan saja. Buat para campervan, tempat ini juga sangat cocok karena banyak pepohonan rindang yang membuat suasana teduh di siang hari.  Pelayanan dari para petugasnya patut diacungi jempol. Mereka sangat ramah dan memberikan briefing yang jelas mengenai keamanan, keselamatan, dan kenyamanan selama kita berkemah. Fasilitas seperti toilet dan mushola juga sangat bersih dan terawat. Meskipun penerangan di area camping sudah cukup, daya listriknya kurang kuat untuk menyalakan alat elektronik lain seperti rice cooker, jadi perlu disiasati.  Soal makanan, minuman, dan snack, harganya terjangkau. Namun, untuk menu makanan beratnya masih kurang bervariasi. Kemarin hanya ada soto, akan lebih baik jika ada pilihan menu nasi atau makanan berat lainnya. Walaupun begitu, secara keseluruhan, pengalaman camping di sini sangat memuaskan. Saya kasih bintang 5/5 dan pasti ingin kembali lagi!"
