Rating,Waktu,Teks_Mentah,Tanggal_Scrap
5,1 hari lalu,"Paling enak pas jalan pagi. Udara seger, nafas rasanya bisa tenang banget, dingin tapi nyaman. Ngga terlalu panas terik karena memang daerah atas. MasyaAllah",2025-12-19
3,2 hari lalu,"Penasaran karena lihat foto dari google kok bagus, akhirnya kami kesini setelah sebelumnya kesorean!!!! Jadi, Nawang Jagad tuh kayak semacem taman gitu yaaa picnic area dengan pemandangan bukit dan kalau beruntung bisa juga dapet pemandangan gunung Merapi (kata mas yang jaga tiket di depan, sayangnya kami tidak dapat view nya karena mendung). Di tiket, 2x kami kesana selalu dijelaskan T&C nya sama petugas, bahkan ditanya, kira-kira mau lanjut masuk atau nggaknya dan itu sama persis tidak ditambah atau dikurangin informasinya. Kalo aku tidak salah ingat, area tutup sekitar jam 4 sore. Nawang Jagad tidak menyediakan makanan, tapi tiket seharga 15rb / orang bisa ditukarkan dengan berbagai minuman, literally berbagai macam ada air mineral, ada teh, susu, bahkan kalo mau kopi instan panas juga bisa. Parkir bayar sendiri lagi yaa tapi aku lupa berapanya. Tidak ada warung makan tapi ada tempat yang bisa buat berteduh dari panasnya siang hari disana yang menyediakan cemilan macem Wonton, kemarin pas kesana ada juga nasgor di bowl gitu. Overall tempatnya asik buat chillax, tapi kalo rame ya gitu deh, bersih juga, tapi gabisa berlama-lama soalnya banyak semut (secara kan itu kyk hamparan rumput dan tanah yang dikasih paving blok, terus banyak pohon jadi wajar sih.",2025-12-19
5,3 hari lalu,"Kesini sekitar jam 11an, HTM 15rb/orang sudah termasuk voucher minum & snack Nanti didalam ada kantin yg bisa ditukar minum (bebas pilih, pilihannya kurang …",2025-12-19
5,seminggu lalu,Tempatnya nyaman sekali,2025-12-19
5,2 minggu lalu,"pelayanan bagus, dikasih tau sedang kabut jadi bisa mempertimbangkan mau lanjut atau tidak:) kupon bisa ditukar sama minuman bebas anddddd suka banget sama live musicnya especially untuk pemilihan lagunya:3",2025-12-19
5,2 minggu lalu,Oke oc,2025-12-19
5,2 minggu lalu,Tempat yang syahdu,2025-12-19
5,3 minggu lalu,yesssss,2025-12-19
5,3 minggu lalu,"service nya bagus bangett, pegawainya ramah",2025-12-19
5,3 minggu lalu,Tempat duduknya kurang dan merapinya terhalang pohon.,2025-12-19
5,3 hari lalu,"Kesini sekitar jam 11an, HTM 15rb/orang sudah termasuk voucher minum & snack Nanti didalam ada kantin yg bisa ditukar minum (bebas pilih, pilihannya kurang lebih le mineral, milku, frestea, coca cola, floridina, jeruk nipis madu) dan snack makaroni/ keripik singkong, Suasananya syahdu, klo beruntung bisa liat merapi tanpa ditutupi awan.. Di kantin banyak colokan listrik, jadi jangan takut klo baterai habis bisa sambi ngecharge.. Kamar mandi juga ada kok Enak buat ngelamun disini tanpa takut kepanasan wkwkw",2025-12-19
5,3 minggu lalu,"Jalan pagi dari hotel ke sini, tapi sampe lokasi masih tutup. Alhasil putar balikkkkkkkk. 😅 …",2025-12-19
5,sebulan lalu,"terdapat 2 keindahan ciptaan Tuhan, Keindahan Nawang Jagad dan Kecantikan Regita 🩷💖 …",2025-12-19
5,sebulan lalu,Kalo beruntung bisa dapet view merapi. Dg tiket masuk 15k udah dapet minum gratis dan free cemilan jugaa,2025-12-19
5,sebulan lalu,"bagus, nyaman, bersih fasilitas support semua,, kapan2 datang lagi ngopi2",2025-12-19
5,sebulan lalu,pelayanannya 10/10 view 10/10 fasilitas 10/10 …,2025-12-19
5,sebulan lalu,"Cocok banget buat yang suka alam,karna bakalan liat pemandangan perbukitan,terdapat fasilitas toilet cukup bersih,untuk tiket masuk dapat free minuman 1 boleh milih,terdapat resto yang menyediakan makanan berat dan cemilan Kendaraan roda 2 dan 4 bisa sampai lokasi",2025-12-19
5,sebulan lalu,"Kesini pas kabut kalau cerah pasti tambah bagus Fasilitas cukup lengkap Mushola, Kamar Mandi Tiket 15k free minum(bisa pilih sendiri) Dan snacks Area tidak begitu Luas tapi sudah cukup kalau untuk sekedar nongkrong lihat merapi",2025-12-19
4,sebulan lalu,"Tempat mampir kalau ke Kaliurang, view bagus saat cuaca cerah, tempat lumayan ramai saat weekend",2025-12-19
5,sebulan lalu,Tempat bersantai konsep alam terbaik saat ini,2025-12-19
5,sebulan lalu,Aku sangat menyukainya.,2025-12-19
5,sebulan lalu,Sayang banget merapinya lagi malu2,2025-12-19
5,sebulan lalu,bagus tempatnya sayangnya waktu kesana gunungnya ketutup awan sedihnyaa,2025-12-19
4,Diedit 2 bulan lalu,Kesini buat lihat view merapi tapi sayang cuman kelihatan setengah. Suasananya cukup dingin karena deket banget dari lereng merapi. Petugasnya juga informatif ngasih info juga kalo misalnya merapi kelihatan atau enggak. Tiket masuk cuma 15k …,2025-12-19
5,2 bulan lalu,Masih Menjadi Tempat Favorit Kalau Galau,2025-12-19
5,2 bulan lalu,Tersembunyi dan indah.,2025-12-19
4,Diedit 2 bulan lalu,"Kesini buat lihat view merapi tapi sayang cuman kelihatan setengah. Suasananya cukup dingin karena deket banget dari lereng merapi. Petugasnya juga informatif ngasih info juga kalo misalnya merapi kelihatan atau enggak. Tiket masuk cuma 15k termasuk parkir, free minum dan cemilan. Tempatnya bersih tapi mungkin kalau pas rame tempat duduknya dikit boleh bawa tiker atau jajan asal jaga kebersihan. Toiletnya juga lumayan bersih. Semoga terus terjaga dan semakin baik lagi. Kalau mau kesini bisa cek CCTV merapi dulu biar gak terlalu kecewa kalau gak kelihatan merapinya",2025-12-19
5,Diedit 2 bulan lalu,Ketutup kabut tapi suasananya adem sejuk,2025-12-19
5,2 bulan lalu,"Tempat rekomendasi untuk dikunjungi saat pikiran sedang penat. Tempat parkir motor luas,tidak dipungut biaya parkir. HTM 15rb free pilih minuman dingin/panas,belum ada resto dan menu makanan. Boleh bawa makan minum dari luar. Boleh bawa kursi meja lipat,bisa bawa kompor portable buat nge grill. Pelayanan dari tempat parkir sampai staff tiketnya ramah sekali,dijelaskan jika cuaca merapi kurang baik/tidak terlihat ditawarkan untuk lanjut atau pilih destinasi wisata lain. Toilet nya juga bersih. Ada monyet ekor panjang,tapi tidak mengganggu selama tidak dikasih makanan. Akan ada staff yg datang mengusir monyet jika dirasa mengganggu wisatawan saat ambil foto. Good job, Nawang Jagad. Pertahankan kualitas,perlu ditambahkan mini kitchen untuk sekedar snack kentang goreng,dll. Saya tidak akan berpikir panjang untuk kembali lagi. ☺️👍🏻",2025-12-19
5,3 bulan lalu,adem,2025-12-19
5,3 bulan lalu,Tiket 15rb sudah termasuk - minum - snack …,2025-12-19
5,3 bulan lalu,Cocok untuk healing. Jarak cukup jauh dari pusat kota,2025-12-19
4,3 bulan lalu,Syg bgt pas kesini cuacanya buruk berkabut huhu,2025-12-19
5,3 bulan lalu,Tiket 15rb sudah termasuk - minum - snack - parkir Anak kecil free,2025-12-19
4,3 bulan lalu,"Alternatif destinasi untuk menikmati pemandangan Gunung Merapi yang masih berada dikawasan Kaliurang. HTM 15k rupiah sudah termasuk karcis parkir, satu minuman (instan atau kemasan) serta camilan ringan. Terdapat menara pandang, cafe, live music serta banyak tempat duduk outdoor. Anda juga bisa menggelar tikar sambil piknik disini. Sayang kondisi gunung tertutup kabut saat saya berkunjung. Baiknya datang pagi persis setelah buka atau saat sore sebab cuaca siang bisa menjadi cukup terik dan area outdoor minim tutupan vegetasi.",2025-12-19
5,3 bulan lalu,"Bagus banget view-nya, udaranya juga sejuk sekali, jadi biarpun panas juga terasa nyaman. Dari kota juga ga terlalu jauh, disini juga ada tempat jual jajanan, tempat parkir lumayan luas. Btw kalo mau masuk pake tiket yaaa ✌🏻 …",2025-12-19
5,3 bulan lalu,Bisa lihat merapi. Tempatnya nyaman untuk santai,2025-12-19
5,3 bulan lalu,"Suasana dan udaranya sejuk, adem dan indah☺️ sayang lagi berkabut saja..",2025-12-19
5,3 bulan lalu,Sayangnya aku kesana pas dapet kabut 😓 tapi udah di sounding sih sama mas-mas di pintu masuk jadi kalo misal kedapetan kabut kalo mau gak jadi juga gpp. …,2025-12-19
5,3 bulan lalu,"tempatnya bagus, sayang banget kesini pas dapet gunung merapi tertutup awan",2025-12-19
5,3 bulan lalu,"Tantangan utama wisata dengan alam sebagai daya tarik adalah cuaca dan kondisi alam itu sendiri. Kami tidak cukup beruntung bisa mendapat view Merapi, tapi kabut agak berkurang jadi kesan magical justru terasa.  Akses ke tempat ini sejenis dengan Ullen Sentalu, tetapi tidak bisa menggunakan lahan parkir mereka jadi harus masuk ke jalur untuk ke Nawang Jagad yang sempit hanya untuk 1 mobil jadi harus bergantian  Petugas di sini cukup informatif dan terus terang kalau misal viewnya lagi tertutup kabut tidak memaksa untuk masuk.  Sayangnya lupa harga tiket masuknya (Agustus 2025), kalau tidak salah Rp15.000, gratis 1 minuman (botol atau kemasan) dan tersedia free flow klethikan (camilan seperti keripik singkong, makaroni). Tempatnya sendiri ada yang tertutup atap ada yang terbuka. Sangat nyaman sebenarnya untuk duduk bersantai dan ngobrol panjang selain untuk berfoto dengan view Merapi. Tetapi kalau yang dicari adalah view dan atraksi2 lain seperti wahana, tempat ini bukan untuk Anda.",2025-12-19
5,4 bulan lalu,View yg indah Klo lagi cerah pasti lebih menakjubkan,2025-12-19
5,4 bulan lalu,Bagusss,2025-12-19
1,4 bulan lalu,Kotor bnget bahaya dan penjaga nya bed etitide,2025-12-19
5,4 bulan lalu,"Bagus bangett pemandangan merapinya apalagi pas lagi cerah2nya cocok banget untuk cari ketenangan, tapi kalian makan dulu kenyang2 dari rumah soalnya makanan berat disana cuma ada popmie,, tapi nuker tiket bebas pilih minum jadi asik banget kata aku 🥳🥰 …",2025-12-19
5,4 bulan lalu,Sayang saat kesini gunung Merapi nya tertutup awan.,2025-12-19
5,4 bulan lalu,Sedihnya pas kesini merapinya tertutup awan,2025-12-19
4,4 bulan lalu,Mayan dpt background merapi jam 8.30 wib kemarin. Sayang krg ada mini resto tuk pesan beli makan minum nya 😅🥲. …,2025-12-19
5,4 bulan lalu,Next bakal kesini lagi sihhh nyampe dapet view merapi😍 …,2025-12-19
5,4 bulan lalu,"Nawang jagad berada di sebelah barat museum ulen sentalu terletak di kawasan wisata Kaliurang Sleman Yogyakarta,dg view gunung Merapi dg udara yg sejuk cocok utk kumpul bersama teman saudara dan keluarga, dg tiket masuk 15rb sudah bisa …",2025-12-19
5,5 bulan lalu,"super duper cakepp, btw aku datangnya pagi sekitar set7 jadi Merapi masi keliatan, tempatnya juga masih sepi dan adem banget, tiketnya bisa dituker minuman dan aku juga beli makanan buat sarapan harganya masi murah buat tempat wisata.",2025-12-19
2,5 bulan lalu,Pagi tadi bukan liat map sampe lokasi jadi tutup....kecewa kecewa,2025-12-19
