Rating,Waktu,Teks_Mentah
1,8 bulan lalu,hp hilang yg jaga ga tanggung jawab 😅😅 …
5,8 bulan lalu,"Bawa perlengkapan penghangat badan. Dari kaos kaki hingga penutup kepala. Suhu dingin sekali. View bagus, strategis. Harga vila terjangkau"
5,4 bulan lalu,Saya mau tanya klo camping  bawah tenda sediri apa bisa
5,9 bulan lalu,Untuk tiket camp berapa ya? Dan apakah sudah termasuk biaya bukit sikunir?
4,setahun lalu,"Kesana pas weekend. full pokoknya apalagi hari minggu, muacet parah. Viewnya bagus, ademm pwol jadi pastiin bawa perlengkapan yg memadahi. Pas kesana …"
4,setahun lalu,"Kesana pas weekend. full pokoknya apalagi hari minggu, muacet parah. Viewnya bagus, ademm pwol jadi pastiin bawa perlengkapan yg memadahi. Pas kesana pas kabut bgt jadi ga naik k puncak, takut disananya zonk. Ada toilet, bayar 2 ribu kalo kencing, kalo mandi sma sholat bayar 5.000 kalo gasalah. Masuk kesini bayar 15.000 per orang (kalo camp), kalo homestay tidak ada biaya masuk setau saya. Terus ndiriin tenda juga kena 15.000 per tenda."
5,5 bulan lalu,"Luar biasa dinginya tak tertandingi,dingin bangettttt"
5,3 bulan lalu,Suasana yang membawa rasa ketenangan alami. Pagi yang indah dan sangat mempesona. Samping Danau di antara tebing yg tinggi nan Asri
5,5 bulan lalu,"Bagus bangett, sejukkk, ada toilet, ada listrik, ada warung, parkir mobil deket, murahhhh... Cuman 50k doang wkwk, rekomen banget deh pokoknya... Jangan lupa selimut 3 lapis"
5,setahun lalu,"Pengalaman camping yg tak terlupakan. Tendanya kurang bersih, lokasi pinggir danau. Bagus. Tapi karena musim kering jadi cukup berdebu.  Ada warung makan / minum yg buka sampe malem. Udara sangat dingin banget. Jaket dobel aja masih tembus.  Lokasi termasuk Deket ke puncak sikunir utk lihat sunrise."
5,setahun lalu,View nya bagusss sekaleeee
4,setahun lalu,"View-nya bagus banget,, ada aliran listrik,, minusnya hanya tidak ada tempat sampah."
