Rating,Waktu,Teks_Mentah,Tanggal_Scrap
5,1 hari lalu,Mantap..kasih bintang 5 pokmen,2025-12-19
5,3 minggu lalu,Cocok bngt buat pemulaa pemula mendaki minimal view maksimal,2025-12-19
4,sebulan lalu,Gunung kecil cukup untuk merasakan tanjakan dan keseruan bersama teman-teman. Untuk parkir dan toilet juga ada.,2025-12-19
4,sebulan lalu,"View kebun teh kalo cerah terlihat gunung kembang sama sindoro. Masuk per orang 10rb, anak2 5rb, sudah ada toilet dan musola. Ada area camp juga",2025-12-19
5,Diedit sebulan lalu,sejuk cocok buat glamping,2025-12-19
5,sebulan lalu,"Kalo pas cerah, viewnya bagus mempesona, dapet gn Kembang dan Sindoro, juga Sumbing, Slamet...wisatanya di kec. KERTEK, kaliurip, Damarkasiyan",2025-12-19
5,sebulan lalu,Dinginnya nikmat❤,2025-12-19
5,sebulan lalu,"dua kali datang pagi"" dapet view bagus terus, untuk treking 15 menit untuk jalan normal, ada dua jalur untuk sampai puncak, jalur lama yang lumayan soalnya dagu ketemu lutut, dan jalur baru yang udah dikasih paving jadi enak jalannya, keren tempatnya asik buat camping atau sekedar main"" foto",2025-12-19
5,sebulan lalu,"Datang kesini pas pagi hariii... Baguss banget, bisa lihat kebun teh yang sangat luas.",2025-12-19
3,sebulan lalu,Kurang tempat sampah Banyak sampah berserakan,2025-12-19
5,2 bulan lalu,"Udara sejuk ,cocok buat  tracking untuk kaum mager kayak aku",2025-12-19
4,2 bulan lalu,Mantap,2025-12-19
5,Diedit 2 bulan lalu,Bisa buat belajar trekking.. fasilitasnya lengkap.. viewnya keren..,2025-12-19
5,Diedit 2 bulan lalu,Itu BAGUS.,2025-12-19
5,2 bulan lalu,"Bagus bgt, pas dapet cerahh",2025-12-19
5,2 bulan lalu,Asyik bgt pertama kesini jumat mlm... Ngecamp yg dicitylightnya.... Jd pas mau sampe puncaknya dah ga begitu lama lg.,2025-12-19
5,3 bulan lalu,View mantab,2025-12-19
4,3 bulan lalu,"Tempat yang indah, udara sejuk,bagus buat foto,parkir juga insyaallah aman. Pengalaman saya meninggalkan barang di kendaraan masih aman.",2025-12-19
5,3 bulan lalu,Pas nggak rame sayang kabut turun,2025-12-19
5,3 bulan lalu,Keren,2025-12-19
5,3 bulan lalu,"makin cakep aja nih tmpt huhu, dtg ke 3kalinya bawa anak dan br ngeuh kalo ada jalur landai coi:(( syg nya kmrn dpt kabut:') gada bosennya ksini, will be back soon 🤏🏻",2025-12-19
5,4 bulan lalu,Aaaaaa ga ada habisnya pokoknyaaa,2025-12-19
5,4 bulan lalu,𝚃𝚎𝚖𝚙𝚊𝚝 𝚖𝚎𝚝𝚒𝚔 𝚌𝚊𝚋𝚎 …,2025-12-19
5,4 bulan lalu,Segar dan sejuk..,2025-12-19
5,4 bulan lalu,HTM Anak : 5.000 HTM Dewasa : 10.000 Camping : 20.000 …,2025-12-19
5,4 bulan lalu,Bagus,2025-12-19
5,4 bulan lalu,𝚃𝚎𝚖𝚙𝚊𝚝 𝚖𝚎𝚝𝚒𝚔 𝚌𝚊𝚋𝚎,2025-12-19
