Rating,Waktu,Teks_Mentah
1,setahun lalu,Stop kontak bermasalah aja di biarin
5,2 tahun lalu,mendakinya terjal tp setellah nyampe atas indahnya gak tertolong
5,5 bulan lalu,Cocok untuk orang yang jauh dari keributan
5,8 bulan lalu,Cocok untuk camping
4,2 tahun lalu,"danaunya banyak ikannya, dan kita bisa kemping di pinggir danau sambil menikmati alam."
1,sebulan lalu,"Camp dri siang listrik jam 17 blum nyala, g tau nayala jam brapa, toilet bukan termasuk fasilitas karena harus bayar tiap kali bak, yang niatnya cari ketenangan tdak direkomendasikan dsini, berisik kalau malam, tdak tenang, tempat karaokean berisik."
4,sebulan lalu,Adem pake banget banget
5,6 bulan lalu,Kesini karena mau lihat sunrise...tapi matahari nya malu² jadi kelihatannya cuma siluet saja 🤭 kabut tebal 😁 nanjak jalan kaki naikin banyak anak tangga yg jarak antara tangganya lumayan tinggi 🤭 nanjaknya kalau jalan kaki santai butuh waktu kurleb 30 menitan...total jalan dari parkiran depan sampai atas kurleb 700an langkah ya...disarankan pakai sepatu olahraga ya supaya safety krn anak tangga nya agak licin takut kepleset aja 🙏😁
1,5 bulan lalu,Suasana makin kotor Kebersihannya makin merosot. Mobil karavan tdk bisa samping tenda😓 Toilet jorok banget.. Lingkungan bau Pesing aahhhh.. Banyak sampah berserakan..
5,6 bulan lalu,Kesini karena mau lihat sunrise...tapi matahari nya malu² jadi kelihatannya cuma siluet saja 🤭 kabut tebal 😁 nanjak jalan kaki naikin banyak anak tangga yg jarak antara tangganya lumayan tinggi 🤭 nanjaknya kalau jalan kaki santai butuh …
5,2 tahun lalu,"Paket camping dan sewa peralatan camping termurah di sikunir, banyak jasa renthal alat camping dan paket camping, akan tetapi paling rekomend adalah sikunir outdoor, ramah murah  apapun kebutuhan pasti di maksimalkan"
5,4 bulan lalu,Menyenangkan
5,10 bulan lalu,Keren banget Emang viewnya kalau malam hari
5,4 bulan lalu,Kereen
5,5 bulan lalu,Cakep
5,3 bulan lalu,Ketidaksengajaan ngikut ngecamp jadi pengalaman seru hangat mengasyikkan meski kedinginan karena ujan kabut turun
1,2 bulan lalu,"Niat camping biar tenang, malah orang"" yang di warung ngga ngerti adab. Orang butuh istirahat butuh tenang, malah kenceng banget ngobrol sama ketawanya."
5,2 tahun lalu,BAru juni kemaren ksini....skarang di sini lagi....masih ngangenin...
1,7 bulan lalu,"Tidak ada penjaga, toilet tidak tersedia, semua dikunci,"
5,3 bulan lalu,"Dingin , bisa camping depan telaga, jam 4 pagi langsung naik lihat sunrise.. Indahh dan ademmm"
4,7 bulan lalu,Dingin
5,Diedit setahun lalu,Istimewa
5,5 bulan lalu,Keindahan alam tiada batas
