Rating,Waktu,Teks_Mentah
5,2 bulan lalu,Pemandanganya mantapz
5,2 bulan lalu,Sebuah telaga. Ini view dari penginapan. Kalo malem bagus sih. Pas puagi juga syahdu. Cuma emang dingin bnget. Jdi bersiaplah bawa yg anget-anget. Khusunya jakettt cuy. Seng kandelll
5,4 bulan lalu,Sangat dingi Dan sangat keren
5,5 bulan lalu,Biasa camp view masih asri .. Ini sdh berubah view penginapan2
5,Diedit 5 bulan lalu,Indah sekali Terletak di kaki bukit sikunir
5,6 bulan lalu,Pengalaman yang baik
5,8 bulan lalu,"Jadi kawasan dengan Wisata Puncak Sikunir,Telaga ini juga memiliki GuestHouse maupun Villa dan penginapan yang Instagrammable.Udara sejuk serta pemandangan yang Wow membuat liburan kali ini terasa Indah Pakdhe.Jangan lupa mampir kemari.Banyak jajan menarik seperti Gorengan dan Kentang Semurrrrr maknyusss lah pokoknya."
5,setahun lalu,"Viewnya cakep banget , kesini rekomendednya pas pagi banget , naik sikunir dulu abis tu jam 8 baru turun foto-foto di pinggir telaga nya , dipinggiran telaga juga sekarang tersedia penginapan"
5,setahun lalu,"Akses dari motor tinggal jalan dikit. -Pemandangan cakep ky di jepang2 . Cukup bersih. -Anginnya gak ada obat kenceng bgt, pke windbreaker yahh -spot foto cakep"
5,setahun lalu,"udaranya dingin khas dataran tinggi, dan banyak wisata glamping di sekitar Danau"
5,setahun lalu,Dingin.
5,setahun lalu,Menikmati udara pegunungan ...
2,setahun lalu,"Sudah beberapa kali kesini sejak lama dan saya sangat suka dan menikmatinya.. tetapi terakhir kali saya berkunjung kesini bulan lalu, saya terkejut dan kecewa dengan semua pembangunan yang semrawut di semua homestay dan akses masuk, belum lagi banyaknya bangunan lain yang merusak keindahan alam.. sangat disayangkan pembangunannya.. maaf saya harus terus terang."
3,setahun lalu,Waktu kesana masih ada renovasi.
4,setahun lalu,"Pagi sejuk dengan pemandangan telaga, banyak wisatawan camping di area telaga. di temani warga lokal yang asik memancing"
5,setahun lalu,Sebuah telaga vulkanik di ketinggian 2100 MDPL cukup membuat badan menggigil dimalam hari. Siang hari terasa sejuk walau matahari bersinar terik. Sangat dekat dengan jalur pendakian Sikunir. …
5,setahun lalu,"Sebuah telaga vulkanik di ketinggian 2100 MDPL cukup membuat badan menggigil dimalam hari. Siang hari terasa sejuk walau matahari bersinar terik. Sangat dekat dengan jalur pendakian Sikunir.  Saran, jangan pas hari libur atau weekend kesini pasti ramai. Jarang ada yang eksplor telaga ini dan lebih memilih ke Sikunir sih. Walau demikian, berfoto dengan latar belakang telaga ini sangat indah dengan kabut dan pemukiman khas pegunungan."
5,2 tahun lalu,"Masuk loket sikunir 15k, sewa tempat tenda 15k(tempat sampah sudah disediakan), parkir 5k, beli kayu bakar 10k satu iket (opsional). Momen momen sehabis idul fitri kurleb 1 bulan kurang, rencana camping sebelum lulus akhirnya terlaksana(tinggal nunggu surat kelulusan aja sih). banyak hal baru yang terjadi.... minggu pagi kita sempatkan naik ke puncak sikunir melihat sunrise dan ketemu teman kita asal sleman, semoga tahun depan kesini lagi"
5,2 tahun lalu,1. Telaga di Desa tertinggi 2. Berkilauaan 3. Parkir luas …
1,2 tahun lalu,"Toilet tidak ada air, ada beberapa pintu terkunci, lampu juga ga ada, harus siap bawa air untuk cebok."
5,2 tahun lalu,"Kalau mau ke sikunir bisa ngecamp di sini, tempat dengan view danau yg bagus, pagi nya bangun jam 4 lalu jalan deh ke atas sikunir"
